"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"1",3,0,0.2905,0.7744,0,0.2728,0.7272,"CE"
"2",2,0.3363,0,0.7048,0.3231,0,0.6769,"AE"
"3",7,0,0.3447,0.6811,0,0.336,0.664,"DE"
"4",7,0,0.4462,0.5742,0,0.4373,0.5627,"DE"
"5",6,0.3535,0,0.6877,0.3395,0,0.6605,"AE"
"6",8,0,0,1.049,0,0,1,"E"
"7",8,0,0,0.9986,0,0,1,"E"
"8",6,0.3235,0,0.6968,0.3171,0,0.6829,"AE"
"9",7,0,0.4525,0.5679,0,0.4435,0.5565,"DE"
"10",7,0,0.2795,0.7365,0,0.2751,0.7249,"DE"
"11",6,0.2928,0,0.8452,0.2573,0,0.7427,"AE"
"12",2,0.2817,0,0.7821,0.2648,0,0.7352,"AE"
"13",7,0,0.4267,0.6481,0,0.397,0.603,"DE"
"14",7,0,0.4626,0.4842,0,0.4886,0.5114,"DE"
"15",4,0,0,1.0023,0,0,1,"E"
"16",7,0,0.5315,0.5115,0,0.5096,0.4904,"DE"
"17",7,0,0.3209,0.6444,0,0.3324,0.6676,"DE"
"18",4,0,0,1.0073,0,0,1,"E"
"19",2,0.5577,0,0.5569,0.5004,0,0.4996,"AE"
"20",7,0,0.4952,0.6273,0,0.4411,0.5589,"DE"
"21",4,0,0,0.98,0,0,1,"E"
"22",3,0,0.2543,0.7962,0,0.2421,0.7579,"CE"
"23",8,0,0,1.0485,0,0,1,"E"
"24",7,0,0.3415,0.7857,0,0.3029,0.6971,"DE"
"25",7,0,0.5357,0.3767,0,0.5871,0.4129,"DE"
"26",7,0,0.467,0.7395,0,0.3871,0.6129,"DE"
"27",7,0,0.4819,0.6289,0,0.4338,0.5662,"DE"
"28",8,0,0,1.0231,0,0,1,"E"
"29",7,0,0.4095,0.7362,0,0.3574,0.6426,"DE"
"30",7,0,0.3983,0.583,0,0.4059,0.5941,"DE"
"31",6,0.4183,0,0.6875,0.3783,0,0.6217,"AE"
"32",2,0.4245,0,0.5643,0.4293,0,0.5707,"AE"
"33",7,0,0.3629,0.634,0,0.364,0.636,"DE"
"34",7,0,0.6017,0.5607,0,0.5177,0.4823,"DE"
"35",8,0,0,1.1537,0,0,1,"E"
"36",6,0.4076,0,0.5781,0.4135,0,0.5865,"AE"
"37",6,0.2803,0,0.762,0.269,0,0.731,"AE"
"38",7,0,0.3002,0.8,0,0.2729,0.7271,"DE"
"39",7,0,0.3848,0.6335,0,0.3779,0.6221,"DE"
"40",2,0.3709,0,0.7002,0.3463,0,0.6537,"AE"
"41",3,0,0.2569,0.8226,0,0.238,0.762,"CE"
"42",2,0.2607,0,0.8475,0.2352,0,0.7648,"AE"
