"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"1",2,0.0345,0,0.0427,0.4467,0,0.5533,"AE"
"2",2,0.0286,0,0.0343,0.454,0,0.546,"AE"
"3",2,0.0421,0,0.0395,0.5161,0,0.4839,"AE"
"4",3,0,0.0255,0.0365,0,0.411,0.589,"CE"
"5",2,0.0411,0,0.0369,0.5269,0,0.4731,"AE"
"6",7,0,0.0508,0.0254,0,0.6669,0.3331,"DE"
"7",2,0.0338,0,0.0355,0.4877,0,0.5123,"AE"
"8",2,0.0369,0,0.0392,0.485,0,0.515,"AE"
"9",2,0.0421,0,0.0315,0.572,0,0.428,"AE"
"10",2,0.0308,0,0.0285,0.5189,0,0.4811,"AE"
"11",3,0,0.0182,0.046,0,0.2836,0.7164,"CE"
"12",3,0,0.033,0.0351,0,0.4846,0.5154,"CE"
"13",3,0,0.0325,0.0424,0,0.4341,0.5659,"CE"
"14",2,0.0392,0,0.0245,0.6155,0,0.3845,"AE"
"15",2,0.0311,0,0.0312,0.4992,0,0.5008,"AE"
"16",7,0,0.0303,0.0337,0,0.4737,0.5263,"DE"
"17",6,0.0394,0,0.0361,0.5213,0,0.4787,"AE"
"18",2,0.042,0,0.034,0.5526,0,0.4474,"AE"
"19",6,0.0605,0,0.0192,0.7595,0,0.2405,"AE"
"20",7,0,0.0266,0.0337,0,0.4412,0.5588,"DE"
"21",2,0.0364,0,0.0257,0.5863,0,0.4137,"AE"
"22",2,0.0555,0,0.023,0.7073,0,0.2927,"AE"
"23",2,0.0357,0,0.0249,0.589,0,0.411,"AE"
"24",2,0.0451,0,0.0263,0.6316,0,0.3684,"AE"
"25",2,0.0378,0,0.0274,0.5798,0,0.4202,"AE"
"26",3,0,0.0402,0.0353,0,0.5323,0.4677,"CE"
"27",2,0.0432,0,0.0304,0.5872,0,0.4128,"AE"
"28",2,0.0381,0,0.0386,0.4963,0,0.5037,"AE"
"29",3,0,0.0367,0.0398,0,0.48,0.52,"CE"
"30",7,0,0.0397,0.0238,0,0.6254,0.3746,"DE"
"31",2,0.0445,0,0.0392,0.5316,0,0.4684,"AE"
"32",2,0.0437,0,0.0334,0.5668,0,0.4332,"AE"
"33",3,0,0.0292,0.0456,0,0.3907,0.6093,"CE"
"34",3,0,0.0174,0.0405,0,0.3003,0.6997,"CE"
"35",7,0,0.0218,0.0378,0,0.3661,0.6339,"DE"
"36",3,0,0.0208,0.0371,0,0.3593,0.6407,"CE"
"37",2,0.041,0,0.0417,0.4959,0,0.5041,"AE"
"38",2,0.0403,0,0.0321,0.5561,0,0.4439,"AE"
"39",2,0.0323,0,0.0264,0.5503,0,0.4497,"AE"
"40",2,0.03,0,0.0286,0.5121,0,0.4879,"AE"
"41",2,0.0462,0,0.028,0.6224,0,0.3776,"AE"
"42",2,0.0366,0,0.0345,0.5148,0,0.4852,"AE"
"43",2,0.0314,0,0.0341,0.479,0,0.521,"AE"
"44",3,0,0.0249,0.0432,0,0.3649,0.6351,"CE"
"45",2,0.0398,0,0.0307,0.5647,0,0.4353,"AE"
"46",2,0.0334,0,0.0356,0.4842,0,0.5158,"AE"
"47",7,0,0.0312,0.0383,0,0.4492,0.5508,"DE"
"48",6,0.0541,0,0.025,0.6838,0,0.3162,"AE"
"49",2,0.0479,0,0.0336,0.5875,0,0.4125,"AE"
"50",7,0,0.0339,0.0314,0,0.5187,0.4813,"DE"
"51",3,0,0.0313,0.036,0,0.4653,0.5347,"CE"
"52",3,0,0.0232,0.0418,0,0.3569,0.6431,"CE"
"53",3,0,0.0353,0.0422,0,0.4554,0.5446,"CE"
"54",3,0,0.0216,0.0395,0,0.3539,0.6461,"CE"
"55",2,0.0388,0,0.0343,0.5311,0,0.4689,"AE"
"56",2,0.0494,0,0.0296,0.6255,0,0.3745,"AE"
"57",2,0.032,0,0.0357,0.4728,0,0.5272,"AE"
"58",2,0.0359,0,0.0326,0.5243,0,0.4757,"AE"
"59",2,0.0432,0,0.0257,0.6275,0,0.3725,"AE"
"60",6,0.0398,0,0.0273,0.5934,0,0.4066,"AE"
