"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"1",7,0,0.0263,0.0267,0,0.4962,0.5038,"DE"
"2",7,0,0.0286,0.0238,0,0.546,0.454,"DE"
"3",2,0.0193,0,0.0318,0.3774,0,0.6226,"AE"
"4",7,0,0.0276,0.0295,0,0.4837,0.5163,"DE"
"5",7,0,0.0228,0.036,0,0.3884,0.6116,"DE"
"6",3,0,0.0128,0.038,0,0.2518,0.7482,"CE"
"7",7,0,0.0231,0.0223,0,0.5086,0.4914,"DE"
"8",7,0,0.0299,0.0223,0,0.573,0.427,"DE"
"9",7,0,0.0305,0.0257,0,0.5425,0.4575,"DE"
"10",7,0,0.0184,0.0353,0,0.3421,0.6579,"DE"
"11",7,0,0.0194,0.0312,0,0.3832,0.6168,"DE"
"12",7,0,0.0248,0.0311,0,0.4434,0.5566,"DE"
"13",8,0,0,0.0545,0,0,1,"E"
"14",7,0,0.0221,0.0322,0,0.4069,0.5931,"DE"
"15",2,0.0243,0,0.0295,0.4519,0,0.5481,"AE"
"16",7,0,0.0222,0.036,0,0.3809,0.6191,"DE"
"17",7,0,0.0222,0.033,0,0.4021,0.5979,"DE"
"18",7,0,0.0158,0.0398,0,0.2839,0.7161,"DE"
"19",8,0,0,0.0498,0,0,1,"E"
"20",8,0,0,0.0511,0,0,1,"E"
"21",7,0,0.0236,0.0297,0,0.4429,0.5571,"DE"
"22",7,0,0.0123,0.0337,0,0.2676,0.7324,"DE"
"23",6,0.0194,0,0.0341,0.3626,0,0.6374,"AE"
"24",2,0.0174,0,0.0334,0.342,0,0.658,"AE"
"25",7,0,0.0221,0.0299,0,0.4248,0.5752,"DE"
"26",7,0,0.0218,0.0226,0,0.4919,0.5081,"DE"
"27",7,0,0.0148,0.0334,0,0.3064,0.6936,"DE"
"28",7,0,0.0195,0.0362,0,0.3504,0.6496,"DE"
"29",2,0.0196,0,0.0366,0.3486,0,0.6514,"AE"
"30",7,0,0.0321,0.0206,0,0.6083,0.3917,"DE"
"31",7,0,0.0236,0.0316,0,0.4273,0.5727,"DE"
"32",7,0,0.03,0.0191,0,0.6111,0.3889,"DE"
"33",7,0,0.0258,0.0239,0,0.5197,0.4803,"DE"
"34",7,0,0.0304,0.0248,0,0.5507,0.4493,"DE"
"35",2,0.0165,0,0.0356,0.3169,0,0.6831,"AE"
"36",7,0,0.0179,0.0343,0,0.3432,0.6568,"DE"
"37",7,0,0.0239,0.0314,0,0.4317,0.5683,"DE"
"38",7,0,0.0253,0.0273,0,0.4814,0.5186,"DE"
"39",7,0,0.0271,0.0254,0,0.5157,0.4843,"DE"
"40",7,0,0.022,0.0331,0,0.3991,0.6009,"DE"
"41",6,0.0225,0,0.0308,0.422,0,0.578,"AE"
"42",7,0,0.0287,0.0254,0,0.531,0.469,"DE"
"43",8,0,0,0.0525,0,0,1,"E"
"44",7,0,0.0176,0.0328,0,0.3498,0.6502,"DE"
"45",2,0.0175,0,0.0284,0.3814,0,0.6186,"AE"
