"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"1",3,0,0.0196,0.0532,0,0.2694,0.7306,"CE"
"2",3,0,0.0282,0.05,0,0.3601,0.6399,"CE"
"3",7,0,0.0236,0.054,0,0.3041,0.6959,"DE"
"4",3,0,0.0216,0.0423,0,0.3383,0.6617,"CE"
"5",3,0,0.0228,0.0581,0,0.2817,0.7183,"CE"
"6",2,0.0149,0,0.0348,0.3005,0,0.6995,"AE"
"7",3,0,0.0308,0.0494,0,0.3842,0.6158,"CE"
"8",3,0,0.0374,0.0465,0,0.446,0.554,"CE"
"9",3,0,0.025,0.041,0,0.3784,0.6216,"CE"
"10",3,0,0.0325,0.0361,0,0.474,0.526,"CE"
"11",3,0,0.0283,0.0592,0,0.3233,0.6767,"CE"
"12",7,0,0.0351,0.045,0,0.438,0.562,"DE"
"13",2,0.0351,0,0.039,0.4742,0,0.5258,"AE"
"14",3,0,0.0328,0.044,0,0.4267,0.5733,"CE"
"15",3,0,0.0241,0.0422,0,0.3631,0.6369,"CE"
"16",3,0,0.0205,0.0348,0,0.371,0.629,"CE"
"17",3,0,0.0258,0.0604,0,0.2995,0.7005,"CE"
"18",7,0,0.0315,0.0425,0,0.4257,0.5743,"DE"
"19",2,0.0358,0,0.0468,0.4339,0,0.5661,"AE"
"20",2,0.0375,0,0.0551,0.4053,0,0.5947,"AE"
"21",3,0,0.0311,0.0578,0,0.3495,0.6505,"CE"
"22",3,0,0.0338,0.0559,0,0.3766,0.6234,"CE"
"23",3,0,0.0186,0.0575,0,0.2448,0.7552,"CE"
"24",3,0,0.0211,0.0491,0,0.3007,0.6993,"CE"
"25",3,0,0.0373,0.046,0,0.4478,0.5522,"CE"
"26",2,0.0201,0,0.0403,0.3326,0,0.6674,"AE"
"27",2,0.032,0,0.0236,0.5757,0,0.4243,"AE"
"28",2,0.027,0,0.051,0.3463,0,0.6537,"AE"
"29",3,0,0.0276,0.0405,0,0.405,0.595,"CE"
"30",2,0.0351,0,0.0405,0.4645,0,0.5355,"AE"
"31",2,0.036,0,0.0318,0.5313,0,0.4687,"AE"
"32",2,0.0411,0,0.0466,0.4689,0,0.5311,"AE"
"33",3,0,0.0257,0.038,0,0.4033,0.5967,"CE"
