"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"6474",3,0,0.001,0.0043,0,0.1926,0.8074,"CE"
"6475",3,0,0.0024,0.0037,0,0.3962,0.6038,"CE"
"6476",3,0,0.001,0.0038,0,0.2164,0.7836,"CE"
"6477",2,0.0022,0,0.0031,0.4133,0,0.5867,"AE"
"6478",4,0,0,0.0055,0,0,1,"E"
"6479",3,0,0.0022,0.0033,0,0.3988,0.6012,"CE"
"6480",3,0,0.002,0.0038,0,0.3445,0.6555,"CE"
"6481",3,0,0.0018,0.0034,0,0.3472,0.6528,"CE"
"6482",3,0,0.0016,0.0035,0,0.3067,0.6933,"CE"
"6483",3,0,0.001,0.0044,0,0.1827,0.8173,"CE"
"6484",3,0,0.0015,0.0041,0,0.2675,0.7325,"CE"
"6485",2,0.002,0,0.0035,0.3624,0,0.6376,"AE"
"6486",3,0,0.0013,0.0037,0,0.2555,0.7445,"CE"
"6487",3,0,0.0024,0.0039,0,0.3777,0.6223,"CE"
"6488",3,0,0.0021,0.0042,0,0.3269,0.6731,"CE"
"6489",3,0,0.0019,0.0042,0,0.3123,0.6877,"CE"
"6490",2,0.0022,0,0.0031,0.4127,0,0.5873,"AE"
"6491",3,0,0.0018,0.0029,0,0.3896,0.6104,"CE"
"6492",3,0,0.0014,0.0045,0,0.2411,0.7589,"CE"
"6493",3,0,0.0014,0.0044,0,0.2365,0.7635,"CE"
"6494",3,0,0.0011,0.0036,0,0.2255,0.7745,"CE"
"6495",3,0,0.0015,0.004,0,0.2816,0.7184,"CE"
"6496",3,0,0.0012,0.004,0,0.2225,0.7775,"CE"
"6497",2,0.0012,0,0.0029,0.2917,0,0.7083,"AE"
"6498",2,0.0016,0,0.0041,0.276,0,0.724,"AE"
"6499",3,0,0.0015,0.0043,0,0.2631,0.7369,"CE"
"6500",3,0,0.0018,0.0036,0,0.3398,0.6602,"CE"
"6501",3,0,0.0021,0.0034,0,0.3884,0.6116,"CE"
"6502",3,0,0.0015,0.0039,0,0.2801,0.7199,"CE"
"6503",3,0,0.0011,0.004,0,0.2097,0.7903,"CE"
"6504",3,0,0.0014,0.0046,0,0.2331,0.7669,"CE"
"6505",3,0,0.001,0.0041,0,0.2,0.8,"CE"
"6506",3,0,0.0015,0.0045,0,0.2478,0.7522,"CE"
"6507",4,0,0,0.0045,0,0,1,"E"
"6508",3,0,0.001,0.0041,0,0.1919,0.8081,"CE"
"6509",3,0,0.0015,0.0041,0,0.2693,0.7307,"CE"
"6510",3,0,0.0011,0.0041,0,0.2131,0.7869,"CE"
"6511",3,0,0.0021,0.0038,0,0.3541,0.6459,"CE"
"6512",4,0,0,0.0057,0,0,1,"E"
"6513",2,0.0019,0,0.004,0.3218,0,0.6782,"AE"
"6514",3,0,0.0017,0.004,0,0.298,0.702,"CE"
"6515",3,0,0.0016,0.0036,0,0.3031,0.6969,"CE"
"6516",3,0,0.0019,0.0047,0,0.2939,0.7061,"CE"
"6517",3,0,0.0011,0.0039,0,0.2191,0.7809,"CE"
"6518",3,0,0.0013,0.0047,0,0.2125,0.7875,"CE"
"6519",3,0,0.0022,0.0039,0,0.3566,0.6434,"CE"
"6520",3,0,0.0019,0.004,0,0.3289,0.6711,"CE"
"6521",3,0,0.0013,0.004,0,0.2407,0.7593,"CE"
"6522",3,0,0.0012,0.0046,0,0.2099,0.7901,"CE"
"6523",3,0,0.0012,0.0042,0,0.2157,0.7843,"CE"
"6524",3,0,0.0021,0.0042,0,0.331,0.669,"CE"
"6525",3,0,0.0013,0.0042,0,0.231,0.769,"CE"
"6526",3,0,0.0016,0.0039,0,0.2955,0.7045,"CE"
"6527",3,0,0.0015,0.0039,0,0.2822,0.7178,"CE"
"6528",3,0,0.0019,0.004,0,0.3217,0.6783,"CE"
"6529",3,0,0.0013,0.0036,0,0.2685,0.7315,"CE"
"6530",3,0,0.0012,0.0044,0,0.2098,0.7902,"CE"
"6531",3,0,0.0013,0.0041,0,0.2354,0.7646,"CE"
"6532",3,0,0.001,0.0046,0,0.1806,0.8194,"CE"
"6533",3,0,0.0011,0.0041,0,0.2088,0.7912,"CE"
"6534",3,0,0.0021,0.0041,0,0.34,0.66,"CE"
"6535",3,0,0.0011,0.0043,0,0.1969,0.8031,"CE"
"6536",4,0,0,0.0053,0,0,1,"E"
"6537",3,0,0.0016,0.0041,0,0.2777,0.7223,"CE"
"6538",3,0,0.0014,0.0042,0,0.2497,0.7503,"CE"
"6539",3,0,0.0018,0.0043,0,0.2987,0.7013,"CE"
"6540",3,0,9e-04,0.0043,0,0.1784,0.8216,"CE"
"6541",6,0.0013,0,0.0035,0.2746,0,0.7254,"AE"
"6542",3,0,0.0012,0.0037,0,0.2498,0.7502,"CE"
"6543",3,0,0.0015,0.0036,0,0.2963,0.7037,"CE"
"6544",3,0,0.0014,0.004,0,0.2594,0.7406,"CE"
"6545",3,0,0.002,0.0043,0,0.3126,0.6874,"CE"
"6546",3,0,0.0017,0.004,0,0.3019,0.6981,"CE"
"6547",3,0,0.0018,0.0043,0,0.2951,0.7049,"CE"
"6548",3,0,0.0024,0.0032,0,0.4292,0.5708,"CE"
"6549",3,0,0.002,0.0043,0,0.3125,0.6875,"CE"
"6550",3,0,8e-04,0.0039,0,0.177,0.823,"CE"
"6551",3,0,0.0013,0.0043,0,0.2342,0.7658,"CE"
"6552",3,0,0.0013,0.0047,0,0.2233,0.7767,"CE"
