"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"1",7,0,0.002,0.0034,0,0.374,0.626,"DE"
"2",7,0,0.0018,0.0039,0,0.319,0.681,"DE"
"3",2,0.0014,0,0.0043,0.2449,0,0.7551,"AE"
"4",4,0,0,0.0058,0,0,1,"E"
"5",8,0,0,0.0058,0,0,1,"E"
"6",7,0,0.0031,0.0031,0,0.494,0.506,"DE"
"7",7,0,0.0019,0.0039,0,0.3309,0.6691,"DE"
"8",2,0.0027,0,0.0031,0.4667,0,0.5333,"AE"
"9",4,0,0,0.0058,0,0,1,"E"
"10",8,0,0,0.0061,0,0,1,"E"
"11",6,0.0021,0,0.0037,0.359,0,0.641,"AE"
"12",7,0,0.0033,0.0029,0,0.5295,0.4705,"DE"
"13",7,0,0.0024,0.0033,0,0.4145,0.5855,"DE"
"14",2,0.0017,0,0.0048,0.2657,0,0.7343,"AE"
"15",7,0,0.0023,0.0044,0,0.3439,0.6561,"DE"
"16",8,0,0,0.0056,0,0,1,"E"
"17",7,0,0.0039,0.0025,0,0.6026,0.3974,"DE"
"18",7,0,0.0024,0.0033,0,0.4143,0.5857,"DE"
"19",8,0,0,0.0058,0,0,1,"E"
"20",6,0.0023,0,0.0038,0.3798,0,0.6202,"AE"
"21",8,0,0,0.0056,0,0,1,"E"
"22",7,0,0.003,0.003,0,0.5007,0.4993,"DE"
"23",7,0,0.0023,0.0043,0,0.3454,0.6546,"DE"
"24",7,0,0.003,0.0034,0,0.4635,0.5365,"DE"
"25",7,0,0.0023,0.0044,0,0.3386,0.6614,"DE"
"26",6,0.0023,0,0.0034,0.406,0,0.594,"AE"
"27",7,0,0.0031,0.0042,0,0.4221,0.5779,"DE"
"28",8,0,0,0.0062,0,0,1,"E"
"29",8,0,0,0.0058,0,0,1,"E"
"30",7,0,0.0033,0.0034,0,0.4955,0.5045,"DE"
"31",6,0.0022,0,0.0031,0.4094,0,0.5906,"AE"
"32",8,0,0,0.0054,0,0,1,"E"
"33",7,0,0.0024,0.0041,0,0.3706,0.6294,"DE"
"34",7,0,0.002,0.0028,0,0.4254,0.5746,"DE"
"35",7,0,0.0027,0.0032,0,0.4533,0.5467,"DE"
"36",7,0,0.0021,0.004,0,0.35,0.65,"DE"
"37",7,0,0.0021,0.0043,0,0.3226,0.6774,"DE"
"38",3,0,0.0016,0.004,0,0.2833,0.7167,"CE"
"39",7,0,0.0019,0.0043,0,0.307,0.693,"DE"
"40",7,0,0.0022,0.0037,0,0.3738,0.6262,"DE"
"41",7,0,0.0021,0.0042,0,0.3317,0.6683,"DE"
"42",7,0,0.0025,0.004,0,0.3863,0.6137,"DE"
"43",7,0,0.0026,0.003,0,0.4637,0.5363,"DE"
"44",7,0,0.0025,0.0037,0,0.4052,0.5948,"DE"
"45",7,0,0.0032,0.003,0,0.5204,0.4796,"DE"
"46",7,0,0.0026,0.0033,0,0.4457,0.5543,"DE"
"47",7,0,0.0033,0.0034,0,0.4944,0.5056,"DE"
"48",7,0,0.0023,0.0036,0,0.39,0.61,"DE"
"49",7,0,0.0029,0.0036,0,0.4432,0.5568,"DE"
"50",6,0.0024,0,0.0042,0.3632,0,0.6368,"AE"
"51",8,0,0,0.0058,0,0,1,"E"
