"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"5668",3,0,0.0015,0.0033,0,0.3148,0.6852,"CE"
"5669",7,0,9e-04,0.0031,0,0.2194,0.7806,"DE"
"5670",3,0,0.001,0.0035,0,0.2149,0.7851,"CE"
"5671",6,0.0015,0,0.0034,0.312,0,0.688,"AE"
"5672",6,0.0023,0,0.0023,0.5013,0,0.4987,"AE"
"5673",2,0.0019,0,0.0028,0.3984,0,0.6016,"AE"
"5674",3,0,0.0016,0.0034,0,0.317,0.683,"CE"
"5675",4,0,0,0.0044,0,0,1,"E"
"5676",7,0,0.001,0.0031,0,0.2358,0.7642,"DE"
"5677",6,0.0019,0,0.003,0.3882,0,0.6118,"AE"
"5678",3,0,0.0013,0.0037,0,0.2583,0.7417,"CE"
"5679",2,0.0019,0,0.0027,0.4188,0,0.5812,"AE"
"5680",3,0,8e-04,0.0031,0,0.2068,0.7932,"CE"
"5681",6,0.0022,0,0.0019,0.5369,0,0.4631,"AE"
"5682",6,0.0017,0,0.0022,0.4303,0,0.5697,"AE"
"5683",6,0.0011,0,0.0036,0.2401,0,0.7599,"AE"
"5684",3,0,0.0012,0.0037,0,0.2533,0.7467,"CE"
"5685",3,0,0.0017,0.0035,0,0.334,0.666,"CE"
"5686",3,0,0.0014,0.0039,0,0.265,0.735,"CE"
"5687",3,0,0.0014,0.0032,0,0.2992,0.7008,"CE"
"5688",3,0,0.0018,0.0033,0,0.3581,0.6419,"CE"
"5689",3,0,0.0014,0.0035,0,0.2863,0.7137,"CE"
"5690",6,0.0021,0,0.0029,0.4187,0,0.5813,"AE"
"5691",2,0.0012,0,0.003,0.2893,0,0.7107,"AE"
"5692",2,0.0025,0,0.0021,0.5407,0,0.4593,"AE"
"5693",2,0.002,0,0.0025,0.436,0,0.564,"AE"
"5694",2,0.002,0,0.0026,0.4382,0,0.5618,"AE"
"5695",3,0,0.0014,0.0035,0,0.2943,0.7057,"CE"
"5696",2,0.0023,0,0.0021,0.5269,0,0.4731,"AE"
"5697",3,0,0.0014,0.0035,0,0.2857,0.7143,"CE"
"5698",2,0.0026,0,0.0029,0.4745,0,0.5255,"AE"
"5699",2,0.0025,0,0.0022,0.529,0,0.471,"AE"
"5700",3,0,0.0013,0.0036,0,0.2699,0.7301,"CE"
"5701",6,0.0018,0,0.0029,0.3772,0,0.6228,"AE"
"5702",3,0,0.0018,0.0031,0,0.365,0.635,"CE"
"5703",2,0.0011,0,0.0033,0.2567,0,0.7433,"AE"
"5704",2,0.0019,0,0.003,0.3823,0,0.6177,"AE"
"5705",2,0.0016,0,0.0024,0.392,0,0.608,"AE"
"5706",2,0.0019,0,0.0021,0.4661,0,0.5339,"AE"
"5707",4,0,0,0.0047,0,0,1,"E"
"5708",2,0.0019,0,0.0029,0.3936,0,0.6064,"AE"
"5709",6,0.0022,0,0.0022,0.5002,0,0.4998,"AE"
