"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"1",8,0,0,0.0624,0,0,1,"E"
"2",6,0.0159,0,0.0402,0.2828,0,0.7172,"AE"
"3",8,0,0,0.0606,0,0,1,"E"
"4",4,0,0,0.064,0,0,1,"E"
"5",8,0,0,0.0687,0,0,1,"E"
"6",7,0,0.0171,0.041,0,0.2948,0.7052,"DE"
"7",8,0,0,0.0691,0,0,1,"E"
"8",8,0,0,0.064,0,0,1,"E"
"9",7,0,0.0217,0.0518,0,0.2957,0.7043,"DE"
"10",6,0.0233,0,0.0543,0.3,0,0.7,"AE"
"11",4,0,0,0.0733,0,0,1,"E"
"12",8,0,0,0.0684,0,0,1,"E"
"13",8,0,0,0.0653,0,0,1,"E"
"14",4,0,0,0.0479,0,0,1,"E"
"15",7,0,0.032,0.0416,0,0.4351,0.5649,"DE"
"16",4,0,0,0.066,0,0,1,"E"
"17",3,0,0.0196,0.0422,0,0.3175,0.6825,"CE"
"18",7,0,0.03,0.0416,0,0.4186,0.5814,"DE"
"19",2,0.0219,0,0.0511,0.2994,0,0.7006,"AE"
"20",4,0,0,0.0631,0,0,1,"E"
"21",7,0,0.0208,0.0417,0,0.3324,0.6676,"DE"
"22",6,0.0284,0,0.0519,0.3537,0,0.6463,"AE"
"23",6,0.0248,0,0.04,0.383,0,0.617,"AE"
"24",3,0,0.0193,0.0509,0,0.2752,0.7248,"CE"
"25",8,0,0,0.0677,0,0,1,"E"
"26",4,0,0,0.0561,0,0,1,"E"
"27",4,0,0,0.0529,0,0,1,"E"
"28",3,0,0.0156,0.0555,0,0.2195,0.7805,"CE"
"29",7,0,0.0322,0.0412,0,0.4384,0.5616,"DE"
"30",4,0,0,0.06,0,0,1,"E"
"31",4,0,0,0.0593,0,0,1,"E"
"32",2,0.0211,0,0.0539,0.2816,0,0.7184,"AE"
"33",8,0,0,0.0655,0,0,1,"E"
"34",8,0,0,0.0668,0,0,1,"E"
"35",4,0,0,0.0551,0,0,1,"E"
"36",8,0,0,0.0656,0,0,1,"E"
"37",3,0,0.0187,0.0575,0,0.2448,0.7552,"CE"
"38",7,0,0.0385,0.0363,0,0.515,0.485,"DE"
"39",7,0,0.0221,0.0445,0,0.3324,0.6676,"DE"
"40",8,0,0,0.0611,0,0,1,"E"
"41",7,0,0.0251,0.0403,0,0.3834,0.6166,"DE"
"42",8,0,0,0.0556,0,0,1,"E"
"43",8,0,0,0.0615,0,0,1,"E"
"44",8,0,0,0.0665,0,0,1,"E"
"45",7,0,0.0332,0.0329,0,0.5024,0.4976,"DE"
"46",2,0.0211,0,0.0494,0.2997,0,0.7003,"AE"
"47",7,0,0.0259,0.0351,0,0.4243,0.5757,"DE"
"48",7,0,0.0232,0.0425,0,0.3527,0.6473,"DE"
"49",8,0,0,0.0735,0,0,1,"E"
"50",8,0,0,0.0628,0,0,1,"E"
"51",6,0.0207,0,0.0466,0.3078,0,0.6922,"AE"
"52",8,0,0,0.0676,0,0,1,"E"
"53",4,0,0,0.0544,0,0,1,"E"
"54",3,0,0.0128,0.051,0,0.2003,0.7997,"CE"
"55",3,0,0.0159,0.0504,0,0.2402,0.7598,"CE"
"56",7,0,0.0212,0.0474,0,0.3092,0.6908,"DE"
"57",7,0,0.0344,0.0395,0,0.4655,0.5345,"DE"
"58",6,0.0297,0,0.044,0.4031,0,0.5969,"AE"
"59",8,0,0,0.0596,0,0,1,"E"
"60",4,0,0,0.0753,0,0,1,"E"
"61",7,0,0.0168,0.0488,0,0.2562,0.7438,"DE"
"62",3,0,0.0122,0.0525,0,0.189,0.811,"CE"
"63",3,0,0.0178,0.0498,0,0.2627,0.7373,"CE"
"64",8,0,0,0.0668,0,0,1,"E"
"65",6,0.0266,0,0.0409,0.3936,0,0.6064,"AE"
"66",8,0,0,0.0651,0,0,1,"E"
"67",4,0,0,0.0608,0,0,1,"E"
"68",4,0,0,0.0746,0,0,1,"E"
"69",7,0,0.0182,0.046,0,0.2838,0.7162,"DE"
"70",8,0,0,0.0626,0,0,1,"E"
"71",7,0,0.0238,0.0352,0,0.4029,0.5971,"DE"
"72",2,0.0266,0,0.0423,0.3864,0,0.6136,"AE"
"73",3,0,0.0149,0.0564,0,0.2089,0.7911,"CE"
"74",7,0,0.0307,0.0376,0,0.4501,0.5499,"DE"
