"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"1",7,0,0.0357,0.0616,0,0.367,0.633,"DE"
"2",6,0.0263,0,0.0618,0.2984,0,0.7016,"AE"
"3",7,0,0.0562,0.0463,0,0.5483,0.4517,"DE"
"4",7,0,0.0462,0.0532,0,0.465,0.535,"DE"
"5",8,0,0,0.0907,0,0,1,"E"
"6",4,0,0,0.0926,0,0,1,"E"
"7",6,0.0296,0,0.0658,0.3099,0,0.6901,"AE"
"8",7,0,0.0323,0.0578,0,0.3584,0.6416,"DE"
"9",7,0,0.0287,0.0519,0,0.3561,0.6439,"DE"
"10",7,0,0.0441,0.0538,0,0.4503,0.5497,"DE"
"11",7,0,0.0322,0.0565,0,0.3632,0.6368,"DE"
"12",7,0,0.0208,0.0535,0,0.2798,0.7202,"DE"
"13",8,0,0,0.0752,0,0,1,"E"
"14",8,0,0,0.0799,0,0,1,"E"
"15",6,0.0412,0,0.0496,0.4537,0,0.5463,"AE"
"16",6,0.0263,0,0.0472,0.3573,0,0.6427,"AE"
"17",7,0,0.0357,0.0537,0,0.3996,0.6004,"DE"
"18",7,0,0.0488,0.0471,0,0.5092,0.4908,"DE"
"19",7,0,0.0355,0.0614,0,0.3661,0.6339,"DE"
"20",7,0,0.0382,0.0579,0,0.3974,0.6026,"DE"
"21",8,0,0,0.0691,0,0,1,"E"
"22",7,0,0.0368,0.057,0,0.3923,0.6077,"DE"
"23",4,0,0,0.0907,0,0,1,"E"
"24",7,0,0.0318,0.0564,0,0.3604,0.6396,"DE"
"25",3,0,0.0165,0.0716,0,0.1871,0.8129,"CE"
"26",7,0,0.037,0.0501,0,0.4248,0.5752,"DE"
"27",8,0,0,0.0876,0,0,1,"E"
"28",7,0,0.0387,0.0549,0,0.4132,0.5868,"DE"
"29",7,0,0.0318,0.0513,0,0.3827,0.6173,"DE"
"30",8,0,0,0.0696,0,0,1,"E"
"31",4,0,0,0.0695,0,0,1,"E"
"32",7,0,0.0296,0.0568,0,0.3424,0.6576,"DE"
"33",2,0.0238,0,0.0533,0.3083,0,0.6917,"AE"
"34",7,0,0.0314,0.0576,0,0.3525,0.6475,"DE"
"35",6,0.0415,0,0.0407,0.505,0,0.495,"AE"
"36",8,0,0,0.0869,0,0,1,"E"
"37",6,0.0412,0,0.0588,0.4122,0,0.5878,"AE"
"38",7,0,0.0328,0.0563,0,0.3682,0.6318,"DE"
"39",3,0,0.0177,0.0681,0,0.2062,0.7938,"CE"
"40",4,0,0,0.0832,0,0,1,"E"
"41",8,0,0,0.0861,0,0,1,"E"
"42",8,0,0,0.0801,0,0,1,"E"
"43",8,0,0,0.0851,0,0,1,"E"
"44",8,0,0,0.0769,0,0,1,"E"
"45",6,0.0432,0,0.0545,0.4421,0,0.5579,"AE"
"46",6,0.0205,0,0.051,0.287,0,0.713,"AE"
