"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"1",1,0.0376,0,0.0426,0.4686,0,0.5314,"ACE"
"2",1,0.0559,0,0.034,0.6217,0,0.3783,"ACE"
"3",1,0.0346,0,0.0362,0.4885,0,0.5115,"ACE"
"4",1,0.0461,0,0.0269,0.6318,0,0.3682,"ACE"
"5",1,0.0263,0,0.0382,0.4081,0,0.5919,"ACE"
"6",1,0.0405,0,0.0319,0.5597,0,0.4403,"ACE"
"7",1,0.0506,0,0.0287,0.6379,0,0.3621,"ACE"
"8",1,0.037,0,0.0355,0.5101,0,0.4899,"ACE"
"9",1,0.0524,0,0.0344,0.6034,0,0.3966,"ACE"
"10",1,0.0389,0,0.0334,0.5383,0,0.4617,"ACE"
"11",1,0.0228,0,0.0338,0.403,0,0.597,"ACE"
"12",1,0.0347,0,0.0328,0.5147,0,0.4853,"ACE"
"13",1,0.038,0,0.031,0.5509,0,0.4491,"ACE"
"14",1,0.038,0,0.039,0.4934,0,0.5066,"ACE"
"15",1,0.0376,0,0.0382,0.496,0,0.504,"ACE"
"16",1,0.0356,0,0.0391,0.4765,0,0.5235,"ACE"
"17",1,0.0351,0,0.0356,0.4967,0,0.5033,"ACE"
"18",1,0.0224,0.0154,0.0293,0.3339,0.2296,0.4365,"ACE"
"19",1,0.0298,0,0.0384,0.4367,0,0.5633,"ACE"
"20",1,0,0.0261,0.0458,0,0.3632,0.6368,"ACE"
"21",1,0.044,0,0.0311,0.5856,0,0.4144,"ACE"
"22",1,0.0418,0,0.0295,0.5859,0,0.4141,"ACE"
"23",1,0.0461,0,0.0399,0.5364,0,0.4636,"ACE"
"24",1,0.0238,0.0116,0.0402,0.3144,0.1534,0.5323,"ACE"
"25",1,0.0308,0.0063,0.0335,0.4359,0.0898,0.4744,"ACE"
"26",1,0.0406,0,0.0416,0.4939,0,0.5061,"ACE"
"27",1,0.033,0,0.0379,0.4653,0,0.5347,"ACE"
"28",1,0.0242,0,0.0343,0.4139,0,0.5861,"ACE"
"29",1,0.0342,0.0108,0.0308,0.4512,0.1429,0.406,"ACE"
"30",1,0.0392,0,0.0361,0.5201,0,0.4799,"ACE"
"31",1,0.0555,0,0.0291,0.6557,0,0.3443,"ACE"
"32",1,0.014,0.0217,0.0327,0.2052,0.3169,0.4779,"ACE"
"33",1,0.0459,0,0.0386,0.5431,0,0.4569,"ACE"
"34",1,0.0396,0.0052,0.0338,0.5035,0.0659,0.4306,"ACE"
"35",1,0.0474,0,0.031,0.6047,0,0.3953,"ACE"
"36",1,0.0486,0,0.0305,0.6147,0,0.3853,"ACE"
"37",1,0.0186,0.0133,0.0293,0.3043,0.2173,0.4784,"ACE"
"38",1,0.0445,0,0.0347,0.5622,0,0.4378,"ACE"
"39",1,0.0455,0,0.0386,0.5415,0,0.4585,"ACE"
"40",1,0.0313,0,0.0337,0.4819,0,0.5181,"ACE"
"41",1,0.0395,0,0.0329,0.5455,0,0.4545,"ACE"
"42",1,0.0458,0.0067,0.0307,0.5504,0.0808,0.3689,"ACE"
"43",1,0.0506,0,0.0284,0.6404,0,0.3596,"ACE"
"44",1,0.0032,0.0262,0.0355,0.0495,0.4035,0.547,"ACE"
"45",1,0.0325,0.0068,0.0361,0.4305,0.0906,0.4789,"ACE"
"46",1,0.0353,0,0.0358,0.4963,0,0.5037,"ACE"
"47",1,0.0403,0,0.0286,0.5852,0,0.4148,"ACE"
"48",1,0.0322,0.0025,0.0411,0.4252,0.0327,0.5421,"ACE"
"49",1,0.0301,0.0082,0.0429,0.3707,0.1009,0.5283,"ACE"
"50",1,0.038,0,0.0392,0.4919,0,0.5081,"ACE"
"51",1,0.0361,0,0.0291,0.5536,0,0.4464,"ACE"
"52",1,0.0276,0,0.0412,0.4009,0,0.5991,"ACE"
"53",1,0.0428,0,0.0236,0.6443,0,0.3557,"ACE"
"54",1,0.039,0.0082,0.0307,0.5007,0.1055,0.3938,"ACE"
"55",1,0.0344,0,0.0378,0.476,0,0.524,"ACE"
"56",1,0.0516,0,0.0281,0.6475,0,0.3525,"ACE"
"57",1,0.0228,0,0.0445,0.3383,0,0.6617,"ACE"
"58",1,0.0391,0,0.0335,0.5386,0,0.4614,"ACE"
"59",1,0.0176,0,0.0374,0.3203,0,0.6797,"ACE"
"60",1,0.0157,0,0.0437,0.2641,0,0.7359,"ACE"
"61",1,0.0246,0,0.0396,0.3833,0,0.6167,"ACE"
"62",1,0.0398,0,0.0372,0.5169,0,0.4831,"ACE"
"63",1,0.0318,0.004,0.0409,0.4146,0.0524,0.5331,"ACE"
"64",1,0.0356,0.0062,0.0295,0.4991,0.0872,0.4136,"ACE"
"65",1,0.0383,0,0.0319,0.5457,0,0.4543,"ACE"
"66",1,0.0335,0.0106,0.0299,0.453,0.1429,0.4042,"ACE"
"67",1,0.0173,0,0.038,0.3131,0,0.6869,"ACE"
"68",1,0.0295,0,0.0417,0.4142,0,0.5858,"ACE"
"69",1,0.0291,0,0.0339,0.462,0,0.538,"ACE"
"70",1,0.0445,0,0.0269,0.6236,0,0.3764,"ACE"
"71",1,0.0347,0.0065,0.0397,0.4292,0.0798,0.491,"ACE"
"72",1,0.0329,0,0.0368,0.4721,0,0.5279,"ACE"
"73",1,0.0454,0,0.0334,0.5762,0,0.4238,"ACE"
"74",1,0.0327,0.0042,0.0238,0.5384,0.069,0.3926,"ACE"
"75",1,0.0479,0,0.026,0.6478,0,0.3522,"ACE"
"76",1,0.0482,0,0.0323,0.5983,0,0.4017,"ACE"
"77",1,0.0484,0,0.0291,0.6247,0,0.3753,"ACE"
"78",1,0.0232,0,0.035,0.3983,0,0.6017,"ACE"
"79",1,0.0364,1e-04,0.0341,0.5154,0.001,0.4836,"ACE"
"80",1,0.0429,0,0.0394,0.5213,0,0.4787,"ACE"
"81",1,0.0299,0,0.0355,0.4569,0,0.5431,"ACE"
"82",1,0.0285,0.0113,0.028,0.42,0.1665,0.4135,"ACE"
"83",1,0.0421,0,0.0366,0.5346,0,0.4654,"ACE"
"84",1,6e-04,0.0237,0.0398,0.0097,0.3691,0.6212,"ACE"
"85",1,0.0365,0,0.0353,0.5083,0,0.4917,"ACE"
"86",1,0.0358,0,0.0354,0.5025,0,0.4975,"ACE"
"87",1,0.0578,0,0.0286,0.6689,0,0.3311,"ACE"
"88",1,0.0179,0,0.0382,0.3184,0,0.6816,"ACE"
"89",1,0.0517,0,0.032,0.6181,0,0.3819,"ACE"
"90",1,0.0082,0.0194,0.0327,0.1361,0.3223,0.5416,"ACE"
"91",1,0.0474,0,0.03,0.6121,0,0.3879,"ACE"
"92",1,0.0313,0,0.0339,0.4802,0,0.5198,"ACE"
"93",1,0.0178,0.0162,0.0308,0.2748,0.2503,0.4749,"ACE"
"94",1,0.0521,0,0.0334,0.6095,0,0.3905,"ACE"
"95",1,0.052,0,0.0258,0.6681,0,0.3319,"ACE"
"96",1,0.048,0,0.0264,0.6453,0,0.3547,"ACE"
"97",1,0.0359,0,0.0367,0.4949,0,0.5051,"ACE"
"98",1,0.0475,0.0021,0.0298,0.5981,0.0266,0.3753,"ACE"
"99",1,0.0329,0,0.0395,0.4544,0,0.5456,"ACE"
"100",1,0.0201,0,0.0343,0.3691,0,0.6309,"ACE"
"101",1,0.0318,0,0.0343,0.4812,0,0.5188,"ACE"
"102",1,0.049,0,0.0338,0.5922,0,0.4078,"ACE"
"103",1,0.0371,0,0.0244,0.6034,0,0.3966,"ACE"
"104",1,0.0343,0.0037,0.0348,0.4712,0.0513,0.4775,"ACE"
"105",1,0.0095,0.0193,0.0431,0.1317,0.2687,0.5997,"ACE"
"106",1,0.0222,0,0.0465,0.3237,0,0.6763,"ACE"
"107",1,0.0155,0.0114,0.0273,0.2868,0.2097,0.5035,"ACE"
"108",1,0.0467,0,0.0373,0.5561,0,0.4439,"ACE"
"109",1,0.0309,0.0125,0.027,0.4388,0.177,0.3841,"ACE"
"110",1,0.0223,0,0.0353,0.3877,0,0.6123,"ACE"
"111",1,0.0453,0,0.0306,0.5969,0,0.4031,"ACE"
"112",1,0.0284,0.002,0.0367,0.4234,0.0297,0.5469,"ACE"
"113",1,0.0474,0,0.0343,0.58,0,0.42,"ACE"
"114",1,0.031,0,0.0393,0.4405,0,0.5595,"ACE"
"115",1,0.0243,0.0104,0.0401,0.3251,0.1385,0.5364,"ACE"
"116",1,0.0134,0.0157,0.0364,0.2047,0.24,0.5553,"ACE"
"117",1,0.0295,0.0108,0.0361,0.3858,0.1421,0.4722,"ACE"
"118",1,0.0485,0,0.0299,0.6191,0,0.3809,"ACE"
"119",1,0.0422,0,0.0415,0.504,0,0.496,"ACE"
"120",1,0.0511,0,0.0282,0.6441,0,0.3559,"ACE"
"121",1,0.0288,0,0.0368,0.4395,0,0.5605,"ACE"
"122",1,0.031,0,0.0377,0.4514,0,0.5486,"ACE"
"123",1,0.0448,0,0.0344,0.5655,0,0.4345,"ACE"
"124",1,0.0227,0,0.0388,0.3694,0,0.6306,"ACE"
"125",1,0.0208,0.011,0.0411,0.2857,0.1504,0.564,"ACE"
"126",1,0.039,0,0.029,0.5731,0,0.4269,"ACE"
"127",1,0.0444,0,0.0272,0.6198,0,0.3802,"ACE"
"128",1,0.0328,0,0.0283,0.537,0,0.463,"ACE"
"129",1,0.0486,0,0.0302,0.617,0,0.383,"ACE"
"130",1,0.0336,0,0.0294,0.5333,0,0.4667,"ACE"
"131",1,0.0265,0,0.0369,0.4178,0,0.5822,"ACE"
"132",1,0.0271,0.0038,0.0379,0.3943,0.0548,0.5509,"ACE"
"133",1,0.0442,0,0.0347,0.56,0,0.44,"ACE"
"134",1,0.0409,0,0.0425,0.4906,0,0.5094,"ACE"
"135",1,0.0398,0.0081,0.0269,0.5322,0.1083,0.3595,"ACE"
"136",1,0.0419,0,0.0263,0.6143,0,0.3857,"ACE"
"137",1,0.0353,0,0.0374,0.4855,0,0.5145,"ACE"
"138",1,0,0.0398,0.0366,0,0.5207,0.4793,"ACE"
"139",1,0.0104,0.0168,0.0378,0.1602,0.2587,0.5811,"ACE"
"140",1,0.0284,0,0.0459,0.382,0,0.618,"ACE"
"141",1,0.0326,0,0.0342,0.4876,0,0.5124,"ACE"
"142",1,0.0404,0,0.0332,0.5491,0,0.4509,"ACE"
"143",1,0.0244,0,0.0442,0.3557,0,0.6443,"ACE"
"144",1,0.0375,0,0.0307,0.5495,0,0.4505,"ACE"
"145",1,0.048,0,0.0369,0.565,0,0.435,"ACE"
"146",1,0.0198,0.0154,0.0392,0.2663,0.2065,0.5272,"ACE"
"147",1,0.0353,0,0.0282,0.5561,0,0.4439,"ACE"
"148",1,0.0279,0,0.0367,0.4318,0,0.5682,"ACE"
"149",1,0.0388,0,0.0393,0.4963,0,0.5037,"ACE"
"150",1,0.0173,0,0.0451,0.2768,0,0.7232,"ACE"
"151",1,0.0327,0,0.0324,0.5021,0,0.4979,"ACE"
"152",1,0.0345,0,0.0313,0.5242,0,0.4758,"ACE"
"153",1,0.0243,0,0.0401,0.3769,0,0.6231,"ACE"
"154",1,0.0432,0,0.0242,0.6412,0,0.3588,"ACE"
"155",1,0.0151,0.0238,0.0403,0.1909,0.3005,0.5086,"ACE"
"156",1,0.0443,0.0013,0.0302,0.5847,0.0169,0.3984,"ACE"
"157",1,0.0386,0,0.0328,0.54,0,0.46,"ACE"
"158",1,0.0325,0,0.0425,0.4333,0,0.5667,"ACE"
"159",1,0,0.0392,0.04,0,0.4949,0.5051,"ACE"
"160",1,0.0398,0,0.0349,0.5332,0,0.4668,"ACE"
"161",1,0.0248,0,0.0405,0.3798,0,0.6202,"ACE"
"162",1,0.0354,0.0031,0.032,0.5015,0.0446,0.454,"ACE"
"163",1,0.0423,0,0.0346,0.5498,0,0.4502,"ACE"
"164",1,0.0245,0,0.0378,0.3932,0,0.6068,"ACE"
"165",1,0.0499,0,0.0292,0.6312,0,0.3688,"ACE"
"166",1,0.0636,0,0.0208,0.7536,0,0.2463,"ACE"
"167",1,0.0434,0,0.0288,0.6009,0,0.3991,"ACE"
"168",1,0.0296,0.0047,0.0275,0.4791,0.0758,0.4451,"ACE"
"169",1,0.0361,0,0.0334,0.5195,0,0.4805,"ACE"
"170",1,0.0422,8e-04,0.0356,0.5367,0.0105,0.4528,"ACE"
"171",1,0.0137,0.028,0.0378,0.1728,0.3519,0.4752,"ACE"
"172",1,0.0147,0,0.0437,0.2514,0,0.7486,"ACE"
"173",1,0.05,0,0.0296,0.6281,0,0.3719,"ACE"
"174",1,0.0276,0,0.0361,0.4334,0,0.5666,"ACE"
"175",1,0.0489,0,0.0333,0.5954,0,0.4046,"ACE"
"176",1,0.0136,0,0.0468,0.225,0,0.775,"ACE"
"177",1,0.0358,0,0.0327,0.523,0,0.477,"ACE"
"178",1,0.0395,0,0.0354,0.5276,0,0.4724,"ACE"
"179",1,0.0354,0,0.0343,0.5082,0,0.4918,"ACE"
"180",1,0.0231,0,0.0441,0.3434,0,0.6566,"ACE"
"181",1,0.0465,0,0.0288,0.6173,0,0.3827,"ACE"
"182",1,0.0361,0,0.0339,0.5161,0,0.4839,"ACE"
"183",1,0.0253,0.01,0.0334,0.3683,0.1455,0.4863,"ACE"
"184",1,0.0231,0,0.045,0.3388,0,0.6612,"ACE"
"185",1,0.028,0,0.0397,0.4131,0,0.5869,"ACE"
"186",1,0.0362,0,0.0374,0.4917,0,0.5083,"ACE"
"187",1,0.0387,0.0049,0.0251,0.5628,0.0716,0.3656,"ACE"
"188",1,0.0106,0.0233,0.026,0.1773,0.3892,0.4335,"ACE"
"189",1,0.0398,0,0.03,0.5701,0,0.4299,"ACE"
"190",1,0.0091,0,0.0422,0.177,0,0.823,"ACE"
"191",1,0.0522,0,0.0332,0.6111,0,0.3889,"ACE"
"192",1,0.0164,0.0141,0.0304,0.2695,0.2316,0.499,"ACE"
"193",1,0.0412,0,0.0357,0.5361,0,0.4639,"ACE"
"194",1,0.0559,0,0.0263,0.68,0,0.32,"ACE"
"195",1,0.0428,0,0.0375,0.5333,0,0.4667,"ACE"
"196",1,0.0314,0.0113,0.0268,0.4516,0.163,0.3855,"ACE"
"197",1,0.0358,0,0.0359,0.4998,0,0.5002,"ACE"
"198",1,0.0019,0.0388,0.0372,0.0249,0.4975,0.4775,"ACE"
"199",1,0.0381,0,0.0423,0.4738,0,0.5262,"ACE"
"200",1,0.0463,0,0.0308,0.6,0,0.4,"ACE"
