"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"1",2,0.0019,0,0.0034,0.3633,0,0.6367,"AE"
"2",8,0,0,0.0057,0,0,1,"E"
"3",4,0,0,0.0059,0,0,1,"E"
"4",8,0,0,0.0054,0,0,1,"E"
"5",7,0,0.0026,0.003,0,0.466,0.534,"DE"
"6",7,0,0.0022,0.0036,0,0.3794,0.6206,"DE"
"7",6,0.0027,0,0.0026,0.507,0,0.493,"AE"
"8",7,0,0.0019,0.0036,0,0.3459,0.6541,"DE"
"9",7,0,0.0017,0.0035,0,0.336,0.664,"DE"
"10",8,0,0,0.0056,0,0,1,"E"
"11",2,0.0014,0,0.0043,0.2492,0,0.7508,"AE"
"12",8,0,0,0.0055,0,0,1,"E"
"13",7,0,0.0021,0.0036,0,0.364,0.636,"DE"
"14",7,0,0.0036,0.0028,0,0.5572,0.4428,"DE"
"15",7,0,0.0025,0.003,0,0.4514,0.5486,"DE"
"16",7,0,0.0033,0.0032,0,0.5043,0.4957,"DE"
"17",6,0.0022,0,0.0038,0.3685,0,0.6315,"AE"
"18",7,0,0.0021,0.0047,0,0.3105,0.6895,"DE"
"19",7,0,0.0032,0.0034,0,0.4825,0.5175,"DE"
"20",6,0.0022,0,0.0038,0.3739,0,0.6261,"AE"
"21",7,0,0.0018,0.0035,0,0.3369,0.6631,"DE"
"22",2,0.0028,0,0.0031,0.4752,0,0.5248,"AE"
"23",8,0,0,0.0055,0,0,1,"E"
"24",7,0,0.0022,0.0034,0,0.3909,0.6091,"DE"
"25",4,0,0,0.006,0,0,1,"E"
"26",7,0,0.0032,0.0028,0,0.5377,0.4623,"DE"
"27",7,0,0.0026,0.0039,0,0.401,0.599,"DE"
"28",7,0,0.0022,0.0043,0,0.3393,0.6607,"DE"
"29",4,0,0,0.0059,0,0,1,"E"
"30",7,0,0.0025,0.0036,0,0.4095,0.5905,"DE"
"31",8,0,0,0.0052,0,0,1,"E"
"32",6,0.0026,0,0.0034,0.4375,0,0.5625,"AE"
"33",3,0,0.0014,0.0044,0,0.2465,0.7535,"CE"
"34",7,0,0.0034,0.0027,0,0.55,0.45,"DE"
"35",8,0,0,0.0056,0,0,1,"E"
"36",4,0,0,0.0049,0,0,1,"E"
"37",3,0,0.0014,0.0043,0,0.2404,0.7596,"CE"
"38",7,0,0.002,0.0037,0,0.3493,0.6507,"DE"
"39",7,0,0.0033,0.0031,0,0.5188,0.4812,"DE"
"40",7,0,0.0024,0.0041,0,0.3711,0.6289,"DE"
"41",4,0,0,0.0055,0,0,1,"E"
"42",8,0,0,0.0052,0,0,1,"E"
"43",8,0,0,0.0052,0,0,1,"E"
"44",7,0,0.003,0.0032,0,0.4827,0.5173,"DE"
"45",6,0.0025,0,0.0039,0.3881,0,0.6119,"AE"
"46",3,0,0.0014,0.0042,0,0.256,0.744,"CE"
"47",8,0,0,0.0056,0,0,1,"E"
"48",8,0,0,0.0053,0,0,1,"E"
"49",6,0.0021,0,0.0041,0.3361,0,0.6639,"AE"
"50",8,0,0,0.0057,0,0,1,"E"
"51",8,0,0,0.0061,0,0,1,"E"
"52",7,0,0.0025,0.0038,0,0.3986,0.6014,"DE"
"53",7,0,0.0022,0.004,0,0.3574,0.6426,"DE"
"54",7,0,0.0029,0.0033,0,0.4674,0.5326,"DE"
"55",7,0,0.0033,0.0028,0,0.5434,0.4566,"DE"
"56",6,0.0013,0,0.0037,0.2605,0,0.7395,"AE"
"57",7,0,0.0031,0.0036,0,0.4644,0.5356,"DE"
"58",7,0,0.0027,0.0034,0,0.4448,0.5552,"DE"
"59",7,0,0.0031,0.003,0,0.5074,0.4926,"DE"
"60",6,0.0024,0,0.0028,0.4564,0,0.5436,"AE"
"61",6,0.0021,0,0.004,0.3431,0,0.6569,"AE"
"62",3,0,0.002,0.0036,0,0.3576,0.6424,"CE"
"63",8,0,0,0.0061,0,0,1,"E"
"64",2,0.0022,0,0.0036,0.3799,0,0.6201,"AE"
"65",7,0,0.0025,0.0041,0,0.3786,0.6214,"DE"
"66",6,0.002,0,0.0041,0.3254,0,0.6746,"AE"
"67",3,0,0.0015,0.0036,0,0.2909,0.7091,"CE"
"68",3,0,0.0019,0.0036,0,0.3467,0.6533,"CE"
"69",2,0.0017,0,0.0038,0.3111,0,0.6889,"AE"
"70",8,0,0,0.0054,0,0,1,"E"
"71",7,0,0.0023,0.0036,0,0.386,0.614,"DE"
"72",7,0,0.0026,0.0035,0,0.4252,0.5748,"DE"
"73",8,0,0,0.0056,0,0,1,"E"
"74",7,0,0.0034,0.0027,0,0.5595,0.4405,"DE"
"75",7,0,0.0023,0.0033,0,0.4097,0.5903,"DE"
"76",7,0,0.0021,0.0039,0,0.3532,0.6468,"DE"
"77",8,0,0,0.0053,0,0,1,"E"
"78",2,0.0021,0,0.0036,0.374,0,0.626,"AE"
"79",6,0.002,0,0.0042,0.3257,0,0.6743,"AE"
"80",4,0,0,0.0047,0,0,1,"E"
"81",8,0,0,0.0059,0,0,1,"E"
"82",2,0.0018,0,0.0038,0.324,0,0.676,"AE"
"83",7,0,0.0034,0.0028,0,0.5497,0.4503,"DE"
"84",8,0,0,0.0053,0,0,1,"E"
"85",3,0,0.0021,0.0042,0,0.3313,0.6687,"CE"
"86",8,0,0,0.0062,0,0,1,"E"
"87",7,0,0.0034,0.003,0,0.53,0.47,"DE"
"88",6,0.0016,0,0.0044,0.2701,0,0.7299,"AE"
"89",7,0,0.0024,0.0034,0,0.4158,0.5842,"DE"
"90",7,0,0.0022,0.0032,0,0.4132,0.5868,"DE"
"91",7,0,0.0025,0.0046,0,0.3574,0.6426,"DE"
"92",7,0,0.0021,0.0039,0,0.3457,0.6543,"DE"
"93",6,0.0021,0,0.0042,0.3312,0,0.6688,"AE"
"94",3,0,0.0012,0.0045,0,0.2132,0.7868,"CE"
"95",7,0,0.0028,0.0033,0,0.4584,0.5416,"DE"
"96",7,0,0.0022,0.0042,0,0.3377,0.6623,"DE"
"97",7,0,0.0024,0.004,0,0.3794,0.6206,"DE"
"98",7,0,0.0024,0.0032,0,0.4268,0.5732,"DE"
"99",7,0,0.0022,0.0036,0,0.381,0.619,"DE"
"100",7,0,0.0031,0.0033,0,0.4822,0.5178,"DE"
