"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"5753",0.21,0.13,0.08394,0.22084,0.1369
"5754",0.21,0.13,0.24233,0.13907,-0.10326
"5755",0.21,0.13,0.27025,0.07959,-0.19066
"5756",0.21,0.13,0.14369,0.20363,0.05994
"5757",0.21,0.13,0.08297,0.23412,0.15116
"5758",0.21,0.13,0.16934,0.15307,-0.01627
"5759",0.21,0.13,0.15247,0.18497,0.03251
"5760",0.21,0.13,0.21209,0.12834,-0.08375
"5761",0.21,0.13,0.16481,0.17564,0.01083
"5762",0.21,0.13,0.14001,0.18686,0.04685
"5763",0.21,0.13,0.20453,0.1322,-0.07233
"5764",0.21,0.13,0.08519,0.20971,0.12452
"5765",0.21,0.13,0.07985,0.24174,0.16189
"5766",0.21,0.13,0.18798,0.15101,-0.03696
"5767",0.21,0.13,0.22939,0.09158,-0.13781
"5768",0.21,0.13,0.2465,0.08832,-0.15819
"5769",0.21,0.13,0.22846,0.1031,-0.12536
"5770",0.21,0.13,0.17349,0.1556,-0.01788
"5771",0.21,0.13,0,0.29943,0.29943
"5772",0.21,0.13,0.12855,0.21473,0.08619
"5773",0.21,0.13,0.29667,0.08895,-0.20772
"5774",0.21,0.13,0.30773,0.039,-0.26874
"5775",0.21,0.13,0.20591,0.17555,-0.03036
"5776",0.21,0.13,0.13627,0.1591,0.02282
"5777",0.21,0.13,0.1276,0.16526,0.03766
"5778",0.21,0.13,0.1181,0.19358,0.07548
"5779",0.21,0.13,0.18467,0.11534,-0.06934
"5780",0.21,0.13,0.19682,0.16526,-0.03156
"5781",0.21,0.13,0.3518,0.0239,-0.3279
"5782",0.21,0.13,0.20698,0.14944,-0.05754
"5783",0.21,0.13,0.36988,0.02792,-0.34197
"5784",0.21,0.13,0.21453,0.12971,-0.08481
"5785",0.21,0.13,0.136,0.1805,0.0445
"5786",0.21,0.13,0.30964,0.06153,-0.2481
"5787",0.21,0.13,0.19109,0.13514,-0.05595
"5788",0.21,0.13,0.22948,0.12562,-0.10385
"5789",0.21,0.13,0.14869,0.17953,0.03084
"5790",0.21,0.13,0.17893,0.13905,-0.03988
"5791",0.21,0.13,0.02874,0.26025,0.2315
"5792",0.21,0.13,0.35966,0,-0.35966
"5793",0.21,0.13,0.29686,0.06293,-0.23393
"5794",0.21,0.13,0.28537,0.06326,-0.22211
"5795",0.21,0.13,0.35152,0.06912,-0.2824
"5796",0.21,0.13,0.20925,0.11833,-0.09092
"5797",0.21,0.13,0.22649,0.09549,-0.131
"5798",0.21,0.13,0.31221,0.02292,-0.28929
"5799",0.21,0.13,0.24384,0.14603,-0.0978
"5800",0.21,0.13,0.15738,0.15479,-0.00259
"5801",0.21,0.13,0.27944,0.04362,-0.23582
"5802",0.21,0.13,0.17426,0.16696,-0.0073
"5803",0.21,0.13,0.26963,0.06014,-0.2095
"5804",0.21,0.13,0.24915,0.09811,-0.15104
"5805",0.21,0.13,0.13889,0.21179,0.0729
"5806",0.21,0.13,0.23312,0.09266,-0.14046
"5807",0.21,0.13,0.17564,0.16101,-0.01463
"5808",0.21,0.13,0.18238,0.16736,-0.01502
"5809",0.21,0.13,0.19566,0.11538,-0.08028
"5810",0.21,0.13,0.06839,0.24367,0.17528
"5811",0.21,0.13,0.25396,0.09178,-0.16218
"5812",0.21,0.13,0.26209,0.0739,-0.18819
"5813",0.21,0.13,0.16713,0.15594,-0.01119
"5814",0.21,0.13,0.22368,0.10826,-0.11542
"5815",0.21,0.13,0.31098,0.02632,-0.28466
"5816",0.21,0.13,0.11993,0.21796,0.09803
"5817",0.21,0.13,0.26111,0.08362,-0.17748
"5818",0.21,0.13,0.08375,0.21081,0.12706
"5819",0.21,0.13,0.13498,0.18575,0.05078
"5820",0.21,0.13,0.15829,0.18854,0.03025
"5821",0.21,0.13,0.34152,0.03402,-0.3075
"5822",0.21,0.13,0.18945,0.14693,-0.04252
"5823",0.21,0.13,0.18867,0.15721,-0.03147
"5824",0.21,0.13,0.30253,0.08001,-0.22251
"5825",0.21,0.13,0.29129,0.1192,-0.17209
"5826",0.21,0.13,0.12804,0.19369,0.06564
"5827",0.21,0.13,0.3,0.05463,-0.24537
"5828",0.21,0.13,0.23316,0.09646,-0.1367
"5829",0.21,0.13,0.2664,0.07094,-0.19546
"5830",0.21,0.13,0.20546,0.1178,-0.08766
"5831",0.21,0.13,0.25767,0.09319,-0.16448
"5832",0.21,0.13,0.36263,0,-0.36263
"5833",0.21,0.13,0.15118,0.20601,0.05484
"5834",0.21,0.13,0.24097,0.10767,-0.1333
"5835",0.21,0.13,0.26325,0.07157,-0.19168
"5836",0.21,0.13,0.11641,0.17998,0.06357
"5837",0.21,0.13,0.37912,0,-0.37912
"5838",0.21,0.13,0.15968,0.18609,0.02641
"5839",0.21,0.13,0.20257,0.14247,-0.0601
"5840",0.21,0.13,0.23234,0.13593,-0.09641
"5841",0.21,0.13,0.18324,0.21063,0.02739
"5842",0.21,0.13,0.10205,0.24642,0.14436
"5843",0.21,0.13,0.13234,0.19359,0.06125
"5844",0.21,0.13,0.10632,0.19344,0.08712
"5845",0.21,0.13,0.2935,0.022,-0.27149
"5846",0.21,0.13,0.19903,0.12749,-0.07154
"5847",0.21,0.13,0.22696,0.11203,-0.11493
"5848",0.21,0.13,0.19187,0.1473,-0.04457
"5849",0.21,0.13,0.12963,0.16549,0.03586
"5850",0.21,0.13,0.23465,0.08859,-0.14606
"5851",0.21,0.13,0.19881,0.11068,-0.08813
"5852",0.21,0.13,0.29526,0.05454,-0.24072
"5853",0.21,0.13,0.25517,0.11862,-0.13655
"5854",0.21,0.13,0.10926,0.24585,0.13659
"5855",0.21,0.13,0.14731,0.17892,0.03161
"5856",0.21,0.13,0.17328,0.16484,-0.00845
"5857",0.21,0.13,0.17842,0.15392,-0.0245
"5858",0.21,0.13,0.26307,0.0593,-0.20377
"5859",0.21,0.13,0.1633,0.16375,0.00045
"5860",0.21,0.13,0.21266,0.11349,-0.09917
"5861",0.21,0.13,0.26561,0.07877,-0.18684
"5862",0.21,0.13,0.16879,0.16996,0.00117
"5863",0.21,0.13,0.11205,0.20511,0.09306
"5864",0.21,0.13,0.11693,0.19082,0.07389
"5865",0.21,0.13,0.13609,0.17836,0.04227
"5866",0.21,0.13,0.30726,0.04958,-0.25769
"5867",0.21,0.13,0.14963,0.12506,-0.02457
"5868",0.21,0.13,0.25325,0.09914,-0.15411
"5869",0.21,0.13,0.2184,0.14089,-0.07751
"5870",0.21,0.13,0.17446,0.1358,-0.03866
"5871",0.21,0.13,0.17178,0.13111,-0.04067
"5872",0.21,0.13,0.20738,0.14134,-0.06604
"5873",0.21,0.13,0.16196,0.19982,0.03786
"5874",0.21,0.13,0.12804,0.19953,0.07149
"5875",0.21,0.13,0.27179,0.06441,-0.20739
"5876",0.21,0.13,0.2464,0.08228,-0.16412
"5877",0.21,0.13,0.28957,0.03913,-0.25044
"5878",0.21,0.13,0.06678,0.28806,0.22128
"5879",0.21,0.13,0.27491,0.07976,-0.19514
"5880",0.21,0.13,0.1523,0.16686,0.01456
"5881",0.21,0.13,0.16622,0.17011,0.00389
"5882",0.21,0.13,0.25714,0.1071,-0.15004
"5883",0.21,0.13,0.10291,0.23295,0.13004
"5884",0.21,0.13,0.27194,0.08887,-0.18308
"5885",0.21,0.13,0.32044,0.05274,-0.26769
"5886",0.21,0.13,0.08711,0.21757,0.13046
"5887",0.21,0.13,0.13089,0.15923,0.02835
"5888",0.21,0.13,0.18058,0.15348,-0.02711
"5889",0.21,0.13,0.18385,0.16066,-0.02318
"5890",0.21,0.13,0.30871,0.04788,-0.26084
"5891",0.21,0.13,0.15672,0.14213,-0.01459
"5892",0.21,0.13,0.25515,0.09749,-0.15766
"5893",0.21,0.13,0.20821,0.15735,-0.05087
"5894",0.21,0.13,0.30346,0.08306,-0.2204
"5895",0.21,0.13,0.20437,0.14712,-0.05725
"5896",0.21,0.13,0.08113,0.22924,0.14812
"5897",0.21,0.13,0.17465,0.16322,-0.01143
"5898",0.21,0.13,0.1519,0.19732,0.04542
"5899",0.21,0.13,0.24643,0.10476,-0.14167
"5900",0.21,0.13,0.18976,0.08795,-0.10181
"5901",0.21,0.13,0.26033,0.07203,-0.1883
"5902",0.21,0.13,0.20861,0.15669,-0.05192
"5903",0.21,0.13,0.32199,0.07629,-0.2457
"5904",0.21,0.13,0.2917,0.08164,-0.21007
"5905",0.21,0.13,0.17487,0.1047,-0.07017
"5906",0.21,0.13,0.09063,0.22837,0.13774
"5907",0.21,0.13,0.10611,0.21818,0.11207
"5908",0.21,0.13,0.26588,0.09075,-0.17514
"5909",0.21,0.13,0.26623,0.05008,-0.21615
"5910",0.21,0.13,0.31821,0.04695,-0.27126
"5911",0.21,0.13,0.34763,0,-0.34763
"5912",0.21,0.13,0.35616,0,-0.35616
"5913",0.21,0.13,0.11806,0.1946,0.07654
"5914",0.21,0.13,0.23886,0.1228,-0.11606
"5915",0.21,0.13,0.24468,0.12723,-0.11745
"5916",0.21,0.13,0.21396,0.12509,-0.08887
"5917",0.21,0.13,0.15547,0.15876,0.00329
"5918",0.21,0.13,0.12358,0.21382,0.09024
"5919",0.21,0.13,0.25797,0.09045,-0.16752
"5920",0.21,0.13,0.21479,0.19283,-0.02196
"5921",0.21,0.13,0.22937,0.13657,-0.0928
"5922",0.21,0.13,0.28223,0.06102,-0.2212
"5923",0.21,0.13,0.17687,0.12533,-0.05154
"5924",0.21,0.13,0.12641,0.19981,0.07341
"5925",0.21,0.13,0.20051,0.12534,-0.07518
"5926",0.21,0.13,0.30554,0.09386,-0.21168
"5927",0.21,0.13,0.32615,0.02515,-0.30099
"5928",0.21,0.13,0.17499,0.13164,-0.04334
"5929",0.21,0.13,0.19911,0.14402,-0.05509
"5930",0.21,0.13,0.00717,0.32198,0.31481
"5931",0.21,0.13,0.181,0.16181,-0.01919
"5932",0.21,0.13,0.2946,0.04912,-0.24548
"5933",0.21,0.13,0.26331,0.0962,-0.1671
"5934",0.21,0.13,0.20985,0.13346,-0.07639
"5935",0.21,0.13,0.2945,0.07941,-0.21509
"5936",0.21,0.13,0.25757,0.04917,-0.2084
"5937",0.21,0.13,0.18069,0.14318,-0.03751
"5938",0.21,0.13,0.20032,0.14166,-0.05866
"5939",0.21,0.13,0.18568,0.18652,0.00084
"5940",0.21,0.13,0.21614,0.14988,-0.06626
"5941",0.21,0.13,0.25066,0.08202,-0.16864
"5942",0.21,0.13,0.17135,0.1465,-0.02485
"5943",0.21,0.13,0.07989,0.23588,0.15598
"5944",0.21,0.13,0.26748,0.02769,-0.23978
"5945",0.21,0.13,0.2616,0.11523,-0.14637
"5946",0.21,0.13,0.21723,0.11774,-0.09949
"5947",0.21,0.13,0.20173,0.14546,-0.05627
"5948",0.21,0.13,0.09872,0.23099,0.13228
"5949",0.21,0.13,0.18306,0.14216,-0.0409
"5950",0.21,0.13,0.20732,0.09484,-0.11248
"5951",0.21,0.13,0.19823,0.11818,-0.08005
"5952",0.21,0.13,0.23548,0.11629,-0.11919
"5953",0.21,0.13,0.12777,0.17322,0.04545
"5954",0.21,0.13,0.16973,0.14587,-0.02387
"5955",0.21,0.13,0.21584,0.16548,-0.05037
"5956",0.21,0.13,0.16565,0.13896,-0.02669
"5957",0.21,0.13,0.40069,0.01766,-0.38302
"5958",0.21,0.13,0.25709,0.0845,-0.17259
"5959",0.21,0.13,0.24238,0.1136,-0.12878
"5960",0.21,0.13,0.20894,0.10407,-0.10487
"5961",0.21,0.13,0.20203,0.12366,-0.07837
"5962",0.21,0.13,0.04265,0.2835,0.24085
"5963",0.21,0.13,0.09299,0.22511,0.13212
"5964",0.21,0.13,0.2066,0.14911,-0.05749
"5965",0.21,0.13,0.21738,0.09576,-0.12162
"5966",0.21,0.13,0.24262,0.10849,-0.13412
"5967",0.21,0.13,0.21383,0.13065,-0.08318
"5968",0.21,0.13,0.2388,0.1249,-0.1139
"5969",0.21,0.13,0.18839,0.16696,-0.02142
"5970",0.21,0.13,0.26192,0.08497,-0.17696
"5971",0.21,0.13,0.17134,0.22321,0.05187
"5972",0.21,0.13,0.12983,0.19344,0.06361
"5973",0.21,0.13,0.16794,0.15701,-0.01093
"5974",0.21,0.13,0.16498,0.1707,0.00572
"5975",0.21,0.13,0.12864,0.20049,0.07185
"5976",0.21,0.13,0.26256,0.08294,-0.17962
"5977",0.21,0.13,0.18919,0.11676,-0.07243
"5978",0.21,0.13,0.26338,0.13002,-0.13336
"5979",0.21,0.13,0.28551,0.06473,-0.22078
"5980",0.21,0.13,0.15975,0.16425,0.00449
"5981",0.21,0.13,0.212,0.12795,-0.08405
"5982",0.21,0.13,0.34329,0.03288,-0.31041
"5983",0.21,0.13,0.29305,0.07358,-0.21947
"5984",0.21,0.13,0.33248,0,-0.33248
"5985",0.21,0.13,0.15902,0.15765,-0.00137
"5986",0.21,0.13,0.12485,0.18875,0.06391
"5987",0.21,0.13,0.23531,0.11356,-0.12175
"5988",0.21,0.13,0.28479,0.05445,-0.23034
"5989",0.21,0.13,0.27251,0.0539,-0.21861
"5990",0.21,0.13,0.17413,0.16402,-0.01011
"5991",0.21,0.13,0.2322,0.07535,-0.15685
"5992",0.21,0.13,0.05924,0.24162,0.18238
"5993",0.21,0.13,0.1333,0.19145,0.05815
"5994",0.21,0.13,0.21111,0.16786,-0.04325
"5995",0.21,0.13,0.23829,0.09957,-0.13872
"5996",0.21,0.13,0.08742,0.18318,0.09576
"5997",0.21,0.13,0.09538,0.20103,0.10565
"5998",0.21,0.13,0.289,0.0924,-0.1966
"5999",0.21,0.13,0.27391,0.07723,-0.19668
"6000",0.21,0.13,0.19846,0.1408,-0.05766
"6001",0.21,0.13,0.16354,0.16951,0.00597
"6002",0.21,0.13,0.33232,0.04194,-0.29037
"6003",0.21,0.13,0.25427,0.10851,-0.14576
"6004",0.21,0.13,0.2637,0.09132,-0.17238
"6005",0.21,0.13,0.18169,0.1821,0.00041
"6006",0.21,0.13,0.09582,0.2096,0.11378
"6007",0.21,0.13,0.16072,0.14505,-0.01567
"6008",0.21,0.13,0.11912,0.21764,0.09852
"6009",0.21,0.13,0.28888,0.09309,-0.19579
"6010",0.21,0.13,0.14347,0.17062,0.02715
"6011",0.21,0.13,0.36332,0.01594,-0.34738
"6012",0.21,0.13,0.27562,0.03973,-0.23589
"6013",0.21,0.13,0.0877,0.2252,0.1375
"6014",0.21,0.13,0.22214,0.13342,-0.08872
"6015",0.21,0.13,0.33707,0.01596,-0.32111
"6016",0.21,0.13,0.1159,0.20971,0.09381
"6017",0.21,0.13,0.17673,0.14905,-0.02768
"6018",0.21,0.13,0.33304,0.01377,-0.31926
"6019",0.21,0.13,0.11847,0.20579,0.08732
"6020",0.21,0.13,0.14155,0.16708,0.02552
"6021",0.21,0.13,0.1524,0.1492,-0.00319
"6022",0.21,0.13,0.03193,0.23126,0.19933
"6023",0.21,0.13,0.21476,0.13591,-0.07885
"6024",0.21,0.13,0.18502,0.09409,-0.09093
"6025",0.21,0.13,0.19063,0.11669,-0.07394
"6026",0.21,0.13,0.18959,0.16773,-0.02186
"6027",0.21,0.13,0.20496,0.12637,-0.07859
"6028",0.21,0.13,0.33504,0.02398,-0.31106
"6029",0.21,0.13,0.22875,0.16098,-0.06777
"6030",0.21,0.13,0.18985,0.14827,-0.04158
"6031",0.21,0.13,0.2503,0.10616,-0.14414
"6032",0.21,0.13,0.28465,0.06335,-0.2213
"6033",0.21,0.13,0.11555,0.18639,0.07084
"6034",0.21,0.13,0.1607,0.17761,0.01691
"6035",0.21,0.13,0.28172,0.08309,-0.19863
"6036",0.21,0.13,0.24517,0.12507,-0.1201
"6037",0.21,0.13,0.27123,0.04505,-0.22618
"6038",0.21,0.13,0.34081,0.02431,-0.3165
"6039",0.21,0.13,0.10742,0.23544,0.12802
"6040",0.21,0.13,0.20361,0.11301,-0.0906
"6041",0.21,0.13,0.21699,0.15816,-0.05883
"6042",0.21,0.13,0.0695,0.21757,0.14807
"6043",0.21,0.13,0.34764,0,-0.34764
"6044",0.21,0.13,0.16768,0.14089,-0.02678
"6045",0.21,0.13,0.28606,0.06934,-0.21672
"6046",0.21,0.13,0.19895,0.13045,-0.0685
"6047",0.21,0.13,0.14241,0.19546,0.05305
"6048",0.21,0.13,0.16068,0.1671,0.00642
"6049",0.21,0.13,0.19737,0.14295,-0.05443
"6050",0.21,0.13,0.19213,0.1737,-0.01843
"6051",0.21,0.13,0.14992,0.17121,0.02129
"6052",0.21,0.13,0.31342,0.07009,-0.24333
"6053",0.21,0.13,0.08386,0.1844,0.10054
"6054",0.21,0.13,0.17145,0.11741,-0.05404
"6055",0.21,0.13,0.07813,0.26578,0.18765
"6056",0.21,0.13,0.13395,0.22844,0.09449
"6057",0.21,0.13,0.2539,0.0932,-0.1607
"6058",0.21,0.13,0.37149,0,-0.37149
"6059",0.21,0.13,0.25508,0.12348,-0.13159
"6060",0.21,0.13,0.24145,0.15883,-0.08261
"6061",0.21,0.13,0.21063,0.17496,-0.03567
"6062",0.21,0.13,0.23232,0.15795,-0.07436
"6063",0.21,0.13,0.16083,0.1795,0.01867
"6064",0.21,0.13,0.08501,0.21941,0.13439
"6065",0.21,0.13,0.24219,0.0966,-0.14559
"6066",0.21,0.13,0.27687,0.07233,-0.20454
"6067",0.21,0.13,0.09371,0.24744,0.15373
"6068",0.21,0.13,0.07261,0.25141,0.1788
"6069",0.21,0.13,0.27459,0.06657,-0.20802
"6070",0.21,0.13,0.20076,0.15187,-0.04889
"6071",0.21,0.13,0.08719,0.22268,0.13549
"6072",0.21,0.13,0.16533,0.16312,-0.00222
"6073",0.21,0.13,0.15661,0.19289,0.03629
"6074",0.21,0.13,0.32434,0.04222,-0.28213
"6075",0.21,0.13,0.19014,0.11143,-0.07871
"6076",0.21,0.13,0.04158,0.23984,0.19826
"6077",0.21,0.13,0.28837,0.09656,-0.19181
"6078",0.21,0.13,0.18618,0.12708,-0.0591
"6079",0.21,0.13,0.20393,0.17015,-0.03378
"6080",0.21,0.13,0.27884,0.07286,-0.20598
"6081",0.21,0.13,0.08209,0.22216,0.14007
"6082",0.21,0.13,0.19339,0.13734,-0.05605
"6083",0.21,0.13,0.21245,0.12758,-0.08487
"6084",0.21,0.13,0.21961,0.1296,-0.09001
"6085",0.21,0.13,0.17071,0.1943,0.02359
"6086",0.21,0.13,0.07721,0.24873,0.17152
"6087",0.21,0.13,0.12766,0.20243,0.07477
"6088",0.21,0.13,0.21111,0.10135,-0.10977
"6089",0.21,0.13,0.31776,0.06073,-0.25704
"6090",0.21,0.13,0.18757,0.10925,-0.07832
"6091",0.21,0.13,0.35083,0.00958,-0.34124
"6092",0.21,0.13,0.33123,0.04448,-0.28675
"6093",0.21,0.13,0.15973,0.1654,0.00567
"6094",0.21,0.13,0.23221,0.10672,-0.12549
"6095",0.21,0.13,0.16775,0.13919,-0.02855
"6096",0.21,0.13,0.22551,0.14132,-0.08419
"6097",0.21,0.13,0.21517,0.11613,-0.09904
"6098",0.21,0.13,0.33308,0.02452,-0.30856
"6099",0.21,0.13,0.1784,0.14656,-0.03184
"6100",0.21,0.13,0.20433,0.16371,-0.04062
"6101",0.21,0.13,0.19077,0.12571,-0.06505
"6102",0.21,0.13,0.30138,0.05985,-0.24153
"6103",0.21,0.13,0.21871,0.09262,-0.12609
"6104",0.21,0.13,0.32854,0.03878,-0.28976
"6105",0.21,0.13,0.17049,0.18284,0.01234
"6106",0.21,0.13,0.13179,0.14145,0.00966
"6107",0.21,0.13,0.20269,0.13054,-0.07215
"6108",0.21,0.13,0.3184,0.04272,-0.27569
"6109",0.21,0.13,0.11595,0.22485,0.1089
"6110",0.21,0.13,0.12579,0.20021,0.07442
"6111",0.21,0.13,0.31717,0.04797,-0.26921
"6112",0.21,0.13,0.2425,0.08874,-0.15375
"6113",0.21,0.13,0.25955,0.11599,-0.14356
"6114",0.21,0.13,0.04995,0.21402,0.16407
"6115",0.21,0.13,0.18523,0.16993,-0.0153
"6116",0.21,0.13,0.30356,0.05948,-0.24408
"6117",0.21,0.13,0.17984,0.13268,-0.04716
"6118",0.21,0.13,0.28421,0.08104,-0.20316
"6119",0.21,0.13,0.29436,0.03366,-0.26069
"6120",0.21,0.13,0.19464,0.1523,-0.04234
"6121",0.21,0.13,0.21214,0.13072,-0.08142
"6122",0.21,0.13,0.10191,0.24068,0.13876
"6123",0.21,0.13,0.12215,0.21882,0.09668
"6124",0.21,0.13,0.22177,0.12071,-0.10107
"6125",0.21,0.13,0.29028,0.08257,-0.20771
