"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"5376",0.24,0,0.26975,0,-0.26975
"5377",0.24,0,0.21846,0.01038,-0.20809
"5378",0.24,0,0.23169,0.00188,-0.22981
"5379",0.24,0,0.28078,0.00819,-0.27259
"5380",0.24,0,0.12701,0.09163,-0.03538
"5381",0.24,0,0.22591,0.02686,-0.19905
"5382",0.24,0,0.22939,0.02835,-0.20104
"5383",0.24,0,0.21442,0,-0.21442
"5384",0.24,0,0.22313,0,-0.22313
"5385",0.24,0,0.24198,0.0337,-0.20828
"5386",0.24,0,0.27146,0,-0.27146
"5387",0.24,0,0.28142,0,-0.28142
"5388",0.24,0,0.21204,0.01505,-0.19698
"5389",0.24,0,0.21874,0.02211,-0.19663
"5390",0.24,0,0.17554,0.0364,-0.13914
"5391",0.24,0,0.24271,0,-0.24271
"5392",0.24,0,0.28081,0.01338,-0.26742
"5393",0.24,0,0.17796,0.02892,-0.14903
"5394",0.24,0,0.22271,0.01399,-0.20872
"5395",0.24,0,0.25439,0,-0.25439
"5396",0.24,0,0.20922,0,-0.20922
"5397",0.24,0,0.10905,0.09765,-0.0114
"5398",0.24,0,0.26177,0.00755,-0.25422
"5399",0.24,0,0.2599,0,-0.2599
"5400",0.24,0,0.28735,0,-0.28735
"5401",0.24,0,0.22925,0,-0.22925
"5402",0.24,0,0.16281,0.04921,-0.1136
"5403",0.24,0,0.19924,0.02575,-0.17349
"5404",0.24,0,0.22834,0,-0.22834
"5405",0.24,0,0.1775,0.05456,-0.12294
"5406",0.24,0,0.128,0.07458,-0.05342
"5407",0.24,0,0.14517,0.02748,-0.11769
"5408",0.24,0,0.21356,0.0146,-0.19897
"5409",0.24,0,0.25864,0,-0.25864
"5410",0.24,0,0.18681,0.02453,-0.16228
"5411",0.24,0,0.23641,0,-0.23641
"5412",0.24,0,0.14183,0.12679,-0.01504
"5413",0.24,0,0.20833,0,-0.20833
"5414",0.24,0,0.24602,0,-0.24602
"5415",0.24,0,0.27593,0,-0.27593
"5416",0.24,0,0.13478,0.11538,-0.01939
"5417",0.24,0,0.24091,0.01551,-0.22539
"5418",0.24,0,0.22064,0,-0.22064
"5419",0.24,0,0.06035,0.15883,0.09848
"5420",0.24,0,0.21307,0,-0.21307
"5421",0.24,0,0.16428,0.05558,-0.1087
"5422",0.24,0,0.14512,0.08649,-0.05863
"5423",0.24,0,0.16663,0.07142,-0.0952
"5424",0.24,0,0.20188,0.02787,-0.174
"5425",0.24,0,0.0664,0.15193,0.08553
"5426",0.24,0,0.02754,0.17432,0.14678
"5427",0.24,0,0.22078,0,-0.22078
"5428",0.24,0,0.23457,0,-0.23457
"5429",0.24,0,0.22281,0,-0.22281
"5430",0.24,0,0.20688,0.03255,-0.17434
"5431",0.24,0,0.06062,0.14558,0.08496
"5432",0.24,0,0.21791,0.01041,-0.2075
"5433",0.24,0,0.2239,0,-0.2239
"5434",0.24,0,0.21133,0,-0.21133
"5435",0.24,0,0.17104,0.01994,-0.1511
"5436",0.24,0,0.24349,0,-0.24349
"5437",0.24,0,0.23838,0.00457,-0.23381
"5438",0.24,0,0.26634,0,-0.26634
"5439",0.24,0,0.22681,0,-0.22681
"5440",0.24,0,0.18012,0.02504,-0.15508
"5441",0.24,0,0.25673,0.00924,-0.24749
"5442",0.24,0,0.18272,0.01866,-0.16406
"5443",0.24,0,0.21566,0,-0.21566
"5444",0.24,0,0.21915,0,-0.21915
"5445",0.24,0,0.24822,0,-0.24822
"5446",0.24,0,0.22486,0,-0.22486
"5447",0.24,0,0.24013,0,-0.24013
"5448",0.24,0,0.26262,0,-0.26262
"5449",0.24,0,0.22566,0,-0.22566
"5450",0.24,0,0.2277,0.02317,-0.20452
"5451",0.24,0,0.23944,0.01235,-0.22709
"5452",0.24,0,0.24073,0,-0.24073
