"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"3203",0.46,0.05,0.37552,0.04779,-0.32773
"3204",0.46,0.05,0.11826,0.36282,0.24456
"3205",0.46,0.05,0.28252,0.31619,0.03367
"3206",0.46,0.05,0.45716,0.02265,-0.43451
"3207",0.46,0.05,0.61494,0,-0.61494
"3208",0.46,0.05,0.55654,0,-0.55654
"3209",0.46,0.05,0.55517,0,-0.55517
"3210",0.46,0.05,0,0.4469,0.4469
"3211",0.46,0.05,0.04593,0.4036,0.35767
"3212",0.46,0.05,0.16729,0.33349,0.1662
"3213",0.46,0.05,0.52151,0,-0.52151
"3214",0.46,0.05,0.42331,0,-0.42331
"3215",0.46,0.05,0.2698,0.18969,-0.08011
"3216",0.46,0.05,0.29496,0.26583,-0.02913
"3217",0.46,0.05,0.44768,0.17284,-0.27484
"3218",0.46,0.05,0.23082,0.26292,0.03209
"3219",0.46,0.05,0.5853,0,-0.5853
"3220",0.46,0.05,0.29023,0.24943,-0.0408
"3221",0.46,0.05,0.66297,0,-0.66297
"3222",0.46,0.05,0.17035,0.22219,0.05184
"3223",0.46,0.05,0.47066,0,-0.47066
"3224",0.46,0.05,0.12671,0.23589,0.10918
"3225",0.46,0.05,0.52432,0,-0.52432
"3226",0.46,0.05,0.47483,0,-0.47483
"3227",0.46,0.05,0.49598,0,-0.49598
"3228",0.46,0.05,0.49054,0,-0.49054
"3229",0.46,0.05,0.23477,0.25996,0.0252
"3230",0.46,0.05,0.52409,0,-0.52409
"3231",0.46,0.05,0.40788,0,-0.40788
"3232",0.46,0.05,0,0.52291,0.52291
"3233",0.46,0.05,0.14487,0.15175,0.00688
"3234",0.46,0.05,0.42802,0,-0.42802
"3235",0.46,0.05,0.30429,0.17433,-0.12996
"3236",0.46,0.05,0.57485,0,-0.57485
"3237",0.46,0.05,0.44467,0.03745,-0.40721
"3238",0.46,0.05,0.49449,0,-0.49449
"3239",0.46,0.05,0.22495,0.39061,0.16566
"3240",0.46,0.05,0.3958,0,-0.3958
"3241",0.46,0.05,0.42399,0.15845,-0.26554
"3242",0.46,0.05,0.46504,0,-0.46504
"3243",0.46,0.05,0.52805,0,-0.52805
"3244",0.46,0.05,0.53778,0.13458,-0.4032
"3245",0.46,0.05,0.37398,0.18931,-0.18467
"3246",0.46,0.05,0.10824,0.36021,0.25198
"3247",0.46,0.05,0.55954,0,-0.55954
"3248",0.46,0.05,0.46657,0.15583,-0.31074
"3249",0.46,0.05,0.17443,0.13966,-0.03477
"3250",0.46,0.05,0.5579,0,-0.5579
"3251",0.46,0.05,0.32156,0,-0.32156
"3252",0.46,0.05,0.20749,0.30343,0.09593
"3253",0.46,0.05,0.36914,0,-0.36914
"3254",0.46,0.05,0.50667,0.10441,-0.40226
"3255",0.46,0.05,0.57136,0,-0.57136
"3256",0.46,0.05,0.47669,0,-0.47669
"3257",0.46,0.05,0.51244,0.0028,-0.50964
"3258",0.46,0.05,0.15183,0.39047,0.23864
"3259",0.46,0.05,0.31268,0,-0.31268
"3260",0.46,0.05,0.58537,0,-0.58537
"3261",0.46,0.05,0.54486,0,-0.54486
"3262",0.46,0.05,0.5608,0,-0.5608
"3263",0.46,0.05,0.52526,0,-0.52526
"3264",0.46,0.05,0.294,0,-0.294
"3265",0.46,0.05,0,0.338,0.338
"3266",0.46,0.05,0.4077,0.12779,-0.27992
"3267",0.46,0.05,0.66689,0,-0.66689
