"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"1",0.46,0.05,0.51377,0.00676,-0.50701
"2",0.46,0.05,0.49663,0.02058,-0.47605
"3",0.46,0.05,0.45276,0.04081,-0.41195
"4",0.46,0.05,0.44679,0.02132,-0.42547
"5",0.46,0.05,0.4825,0.00276,-0.47975
"6",0.46,0.05,0.37325,0.11325,-0.26
"7",0.46,0.05,0.48518,0.02505,-0.46014
"8",0.46,0.05,0.40649,0.10682,-0.29968
"9",0.46,0.05,0.4561,0.0427,-0.4134
"10",0.46,0.05,0.34717,0.15878,-0.18839
"11",0.46,0.05,0.4318,0.09622,-0.33558
"12",0.46,0.05,0.42172,0.08002,-0.3417
"13",0.46,0.05,0.49277,0,-0.49277
"14",0.46,0.05,0.45126,0.05119,-0.40007
"15",0.46,0.05,0.47027,0.02921,-0.44107
"16",0.46,0.05,0.41951,0.04575,-0.37376
"17",0.46,0.05,0.42497,0.09616,-0.32881
"18",0.46,0.05,0.38213,0.13571,-0.24641
"19",0.46,0.05,0.35123,0.10248,-0.24874
"20",0.46,0.05,0.4439,0.07266,-0.37125
"21",0.46,0.05,0.48893,0.00232,-0.48661
"22",0.46,0.05,0.44116,0.07004,-0.37112
"23",0.46,0.05,0.34431,0.12637,-0.21793
"24",0.46,0.05,0.35141,0.14551,-0.2059
"25",0.46,0.05,0.4817,0.02425,-0.45744
"26",0.46,0.05,0.37906,0.13352,-0.24554
"27",0.46,0.05,0.40568,0.05616,-0.34951
"28",0.46,0.05,0.39653,0.11765,-0.27888
"29",0.46,0.05,0.44614,0.04406,-0.40208
"30",0.46,0.05,0.46416,0.03402,-0.43014
"31",0.46,0.05,0.43776,0.06,-0.37776
"32",0.46,0.05,0.40646,0.09221,-0.31424
"33",0.46,0.05,0.52693,0,-0.52693
"34",0.46,0.05,0.51897,0,-0.51897
"35",0.46,0.05,0.41212,0.0996,-0.31251
"36",0.46,0.05,0.44735,0.07684,-0.37051
"37",0.46,0.05,0.44224,0.09544,-0.34681
"38",0.46,0.05,0.53533,0,-0.53533
"39",0.46,0.05,0.4312,0.05322,-0.37799
"40",0.46,0.05,0.49951,0.03721,-0.4623
"41",0.46,0.05,0.48325,0.05123,-0.43203
"42",0.46,0.05,0.47017,0.03625,-0.43392
"43",0.46,0.05,0.48432,0.03028,-0.45404
"44",0.46,0.05,0.35491,0.11012,-0.24479
"45",0.46,0.05,0.49148,0.04349,-0.44799
"46",0.46,0.05,0.44464,0.04958,-0.39506
"47",0.46,0.05,0.29429,0.18111,-0.11318
"48",0.46,0.05,0.42212,0.08567,-0.33646
"49",0.46,0.05,0.53964,0,-0.53964
"50",0.46,0.05,0.53249,0,-0.53249
"51",0.46,0.05,0.42833,0.02351,-0.40482
"52",0.46,0.05,0.49763,0.02372,-0.47391
"53",0.46,0.05,0.48645,0.04493,-0.44152
"54",0.46,0.05,0.45362,0.02773,-0.4259
"55",0.46,0.05,0.46114,0.05148,-0.40966
"56",0.46,0.05,0.41099,0.10152,-0.30946
"57",0.46,0.05,0.42635,0.09234,-0.33402
"58",0.46,0.05,0.53089,0,-0.53089
"59",0.46,0.05,0.55438,0.00054,-0.55384
"60",0.46,0.05,0.31429,0.15752,-0.15677
"61",0.46,0.05,0.47044,0.08522,-0.38522
"62",0.46,0.05,0.50504,0,-0.50504
"63",0.46,0.05,0.46766,0.03886,-0.42879
"64",0.46,0.05,0.50481,0.04595,-0.45885
"65",0.46,0.05,0.46791,0.05694,-0.41097
"66",0.46,0.05,0.41861,0.04227,-0.37634
"67",0.46,0.05,0.34793,0.12808,-0.21986
"68",0.46,0.05,0.50769,0.03982,-0.46787
"69",0.46,0.05,0.54696,0,-0.54696
"70",0.46,0.05,0.42536,0.05587,-0.36948
"71",0.46,0.05,0.35849,0.1367,-0.22179
"72",0.46,0.05,0.46215,0.07799,-0.38416
"73",0.46,0.05,0.34008,0.13991,-0.20017
"74",0.46,0.05,0.41405,0.06089,-0.35316
"75",0.46,0.05,0.48705,0,-0.48705
"76",0.46,0.05,0.52804,0,-0.52804
"77",0.46,0.05,0.5209,0,-0.5209
"78",0.46,0.05,0.3336,0.14899,-0.18461
"79",0.46,0.05,0.41749,0.12409,-0.29339
"80",0.46,0.05,0.46572,0.06077,-0.40495
"81",0.46,0.05,0.52405,0,-0.52405
"82",0.46,0.05,0.47883,0.02335,-0.45548
"83",0.46,0.05,0.51551,0,-0.51551
"84",0.46,0.05,0.31051,0.15854,-0.15198
"85",0.46,0.05,0.34942,0.10042,-0.249
"86",0.46,0.05,0.53053,0,-0.53053
"87",0.46,0.05,0.34586,0.17625,-0.16961
"88",0.46,0.05,0.3752,0.13586,-0.23933
"89",0.46,0.05,0.32739,0.12715,-0.20024
"90",0.46,0.05,0.30148,0.1847,-0.11678
"91",0.46,0.05,0.53904,0,-0.53904
"92",0.46,0.05,0.30513,0.16586,-0.13927
"93",0.46,0.05,0.43768,0.0817,-0.35598
"94",0.46,0.05,0.36589,0.14177,-0.22412
"95",0.46,0.05,0.52576,0,-0.52576
"96",0.46,0.05,0.36075,0.11189,-0.24886
"97",0.46,0.05,0.45121,0.09682,-0.35439
"98",0.46,0.05,0.51907,0.02498,-0.49408
"99",0.46,0.05,0.54928,0,-0.54928
"100",0.46,0.05,0.50796,0,-0.50796
"101",0.46,0.05,0.33944,0.13725,-0.20219
"102",0.46,0.05,0.46925,0.02569,-0.44357
"103",0.46,0.05,0.50357,0,-0.50357
"104",0.46,0.05,0.50767,0.03224,-0.47544
"105",0.46,0.05,0.4631,0.06587,-0.39724
"106",0.46,0.05,0.51744,0,-0.51744
"107",0.46,0.05,0.49632,0.03147,-0.46485
"108",0.46,0.05,0.49731,0.00533,-0.49198
"109",0.46,0.05,0.44492,0.04358,-0.40134
"110",0.46,0.05,0.51692,0,-0.51692
"111",0.46,0.05,0.39669,0.13761,-0.25908
"112",0.46,0.05,0.40135,0.08376,-0.31759
"113",0.46,0.05,0.46204,0.04957,-0.41248
"114",0.46,0.05,0.40016,0.1143,-0.28586
"115",0.46,0.05,0.47575,0.0326,-0.44315
"116",0.46,0.05,0.50315,0.01888,-0.48427
"117",0.46,0.05,0.44833,0.08735,-0.36098
"118",0.46,0.05,0.4417,0.06598,-0.37573
"119",0.46,0.05,0.53551,0,-0.53551
"120",0.46,0.05,0.36619,0.11241,-0.25378
"121",0.46,0.05,0.45496,0.03504,-0.41992
"122",0.46,0.05,0.39201,0.09176,-0.30025
"123",0.46,0.05,0.48511,0.0614,-0.42371
"124",0.46,0.05,0.41689,0.10273,-0.31416
"125",0.46,0.05,0.44108,0.05964,-0.38143
"126",0.46,0.05,0.41928,0.06887,-0.35041
"127",0.46,0.05,0.51193,0.00854,-0.50339
"128",0.46,0.05,0.46036,0.06742,-0.39294
"129",0.46,0.05,0.50791,0,-0.50791
"130",0.46,0.05,0.34966,0.13734,-0.21232
"131",0.46,0.05,0.4943,0,-0.4943
"132",0.46,0.05,0.35347,0.1382,-0.21527
"133",0.46,0.05,0.46686,0.04208,-0.42477
"134",0.46,0.05,0.46328,0.03282,-0.43046
"135",0.46,0.05,0.47652,0.04774,-0.42878
"136",0.46,0.05,0.4908,0.04751,-0.44329
"137",0.46,0.05,0.45376,0.07226,-0.3815
"138",0.46,0.05,0.47254,0.03516,-0.43738
"139",0.46,0.05,0.35552,0.11357,-0.24195
"140",0.46,0.05,0.4659,0.04394,-0.42196
"141",0.46,0.05,0.44067,0.02055,-0.42012
"142",0.46,0.05,0.46798,0.03976,-0.42822
"143",0.46,0.05,0.41418,0.08939,-0.32479
"144",0.46,0.05,0.52963,0,-0.52963
"145",0.46,0.05,0.43171,0.07493,-0.35677
"146",0.46,0.05,0.54205,0,-0.54205
"147",0.46,0.05,0.47664,0.05339,-0.42324
"148",0.46,0.05,0.4102,0.0801,-0.3301
"149",0.46,0.05,0.53531,0,-0.53531
