"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"134",0.09,0.11,0,0.09606,0.09606
"135",0.09,0.11,0.12931,0.11241,-0.01689
"136",0.09,0.11,0.31469,0,-0.31469
"137",0.09,0.11,0.26659,0,-0.26659
"138",0.09,0.11,0,0.18352,0.18352
"139",0.09,0.11,0,0.05708,0.05708
"140",0.09,0.11,0.42524,0,-0.42524
"141",0.09,0.11,0,0,0
"142",0.09,0.11,0.10719,0.08783,-0.01936
"143",0.09,0.11,0.04353,0.08769,0.04416
"144",0.09,0.11,0.23851,0,-0.23851
"145",0.09,0.11,0,0.21141,0.21141
"146",0.09,0.11,0,0.19615,0.19615
"147",0.09,0.11,0,0.29389,0.29389
"148",0.09,0.11,0,0.16383,0.16383
"149",0.09,0.11,0,0.2527,0.2527
"150",0.09,0.11,0,0.25472,0.25472
"151",0.09,0.11,0,0.23253,0.23253
"152",0.09,0.11,0,0.17455,0.17455
"153",0.09,0.11,0.17285,0,-0.17285
"154",0.09,0.11,0.01137,0.21055,0.19918
"155",0.09,0.11,0.41832,0,-0.41832
"156",0.09,0.11,0.30501,0,-0.30501
"157",0.09,0.11,0,0.04207,0.04207
"158",0.09,0.11,0.22986,0,-0.22986
"159",0.09,0.11,0.06405,0,-0.06405
"160",0.09,0.11,0.26209,0,-0.26209
"161",0.09,0.11,0.44593,0,-0.44593
"162",0.09,0.11,0.05274,0.1201,0.06737
"163",0.09,0.11,0,0.17071,0.17071
"164",0.09,0.11,0,0.15131,0.15131
"165",0.09,0.11,0,0.15231,0.15231
"166",0.09,0.11,0.13793,0,-0.13793
"167",0.09,0.11,0.38284,0,-0.38284
"168",0.09,0.11,0.09187,0,-0.09187
"169",0.09,0.11,0,0.06951,0.06951
"170",0.09,0.11,0.18669,0,-0.18669
"171",0.09,0.11,0.39577,0,-0.39577
"172",0.09,0.11,0.2488,0,-0.2488
"173",0.09,0.11,0.18313,0.01921,-0.16392
"174",0.09,0.11,0,0.11545,0.11545
"175",0.09,0.11,0,0.26731,0.26731
"176",0.09,0.11,0,0.06775,0.06775
"177",0.09,0.11,0,0.25149,0.25149
"178",0.09,0.11,0.12733,0.28267,0.15534
"179",0.09,0.11,0.23783,0,-0.23783
"180",0.09,0.11,0,0.20983,0.20983
"181",0.09,0.11,0,0.1221,0.1221
"182",0.09,0.11,0.25291,0,-0.25291
"183",0.09,0.11,0.14027,0.10898,-0.0313
"184",0.09,0.11,0,0.05655,0.05655
"185",0.09,0.11,0.13073,0.051,-0.07974
"186",0.09,0.11,0,0.41875,0.41875
"187",0.09,0.11,0.04442,0.24349,0.19907
"188",0.09,0.11,0,0.2939,0.2939
"189",0.09,0.11,0.25205,0,-0.25205
"190",0.09,0.11,0,0.20686,0.20686
"191",0.09,0.11,0,0.34447,0.34447
"192",0.09,0.11,0.15583,0.03754,-0.11829
"193",0.09,0.11,0.19018,0.12324,-0.06695
"194",0.09,0.11,0.1966,0.00797,-0.18863
"195",0.09,0.11,0,0,0
"196",0.09,0.11,0,0.33623,0.33623
"197",0.09,0.11,0.05082,0.30812,0.2573
"198",0.09,0.11,0,0.34948,0.34948
"199",0.09,0.11,0.12089,0,-0.12089
"200",0.09,0.11,0.27701,0,-0.27701
"201",0.09,0.11,0,0.20519,0.20519
"202",0.09,0.11,0.31065,0,-0.31065
"203",0.09,0.11,0,0.20435,0.20435
"204",0.09,0.11,0.14289,0,-0.14289
"205",0.09,0.11,0.16714,0,-0.16714
"206",0.09,0.11,0,0.21073,0.21073
"207",0.09,0.11,0.05097,0.15129,0.10032
"208",0.09,0.11,0.16332,0,-0.16332
"209",0.09,0.11,0.03807,0.19558,0.15751
"210",0.09,0.11,0,0.02431,0.02431
"211",0.09,0.11,0.23529,0,-0.23529
"212",0.09,0.11,0,0.10179,0.10179
"213",0.09,0.11,0.06471,0.24874,0.18402
"214",0.09,0.11,0,0,0
"215",0.09,0.11,0,0.26375,0.26375
"216",0.09,0.11,0.4264,0,-0.4264
"217",0.09,0.11,0,0.10925,0.10925
"218",0.09,0.11,0,0,0
"219",0.09,0.11,0.2193,0.05338,-0.16592
"220",0.09,0.11,0,0.24201,0.24201
"221",0.09,0.11,0,0.13094,0.13094
"222",0.09,0.11,0.10774,0,-0.10774
"223",0.09,0.11,0.37274,0,-0.37274
"224",0.09,0.11,0.3228,0.08045,-0.24236
"225",0.09,0.11,0.04971,0.34273,0.29302
"226",0.09,0.11,0.14034,0,-0.14034
"227",0.09,0.11,0.16778,0,-0.16778
"228",0.09,0.11,0,0,0
"229",0.09,0.11,0,0.14269,0.14269
"230",0.09,0.11,0,0.34595,0.34595
"231",0.09,0.11,0.02555,0.2174,0.19185
"232",0.09,0.11,0.28225,0,-0.28225
"233",0.09,0.11,0.28143,0.04872,-0.23272
"234",0.09,0.11,0.34485,0,-0.34485
"235",0.09,0.11,0,0.021,0.021
"236",0.09,0.11,0.1913,0,-0.1913
"237",0.09,0.11,0,0.14288,0.14288
"238",0.09,0.11,0.3825,0,-0.3825
"239",0.09,0.11,0,0.19717,0.19717
"240",0.09,0.11,0,0.14931,0.14931
"241",0.09,0.11,0.02309,0,-0.02309
"242",0.09,0.11,0,0,0
"243",0.09,0.11,0,0.14086,0.14086
"244",0.09,0.11,0,0.06481,0.06481
"245",0.09,0.11,0,0.28191,0.28191
"246",0.09,0.11,0.03444,0,-0.03444
"247",0.09,0.11,0,0,0
"248",0.09,0.11,0.04853,0.08579,0.03726
"249",0.09,0.11,0.23157,0.02853,-0.20304
"250",0.09,0.11,0.23187,0,-0.23187
"251",0.09,0.11,0.25278,0,-0.25278
"252",0.09,0.11,0,0.3739,0.3739
"253",0.09,0.11,0,0.21908,0.21908
"254",0.09,0.11,0,0.16968,0.16968
"255",0.09,0.11,0,0.16239,0.16239
"256",0.09,0.11,0.17379,0,-0.17379
"257",0.09,0.11,0,0.19551,0.19551
"258",0.09,0.11,0.41755,0,-0.41755
"259",0.09,0.11,0.33114,0,-0.33114
"260",0.09,0.11,0,0.04643,0.04643
"261",0.09,0.11,0.45447,0,-0.45447
"262",0.09,0.11,0,0.19057,0.19057
"263",0.09,0.11,0,0.22392,0.22392
"264",0.09,0.11,0.15919,0.12281,-0.03639
"265",0.09,0.11,0.17713,0,-0.17713
"266",0.09,0.11,0.09006,0,-0.09006
"267",0.09,0.11,0,0.22271,0.22271
"268",0.09,0.11,0,0.01267,0.01267
