"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"828",0.31,0,0.27214,0.06154,-0.2106
"829",0.31,0,0.20143,0.08131,-0.12012
"830",0.31,0,0.29097,0.02116,-0.26982
"831",0.31,0,0.34484,0,-0.34484
"832",0.31,0,0.3117,0,-0.3117
"833",0.31,0,0.17313,0.09533,-0.07781
"834",0.31,0,0.24485,0.03839,-0.20646
"835",0.31,0,0.28096,0.01007,-0.27088
"836",0.31,0,0.22183,0.08537,-0.13646
"837",0.31,0,0.22806,0.07764,-0.15042
"838",0.31,0,0.2443,0.04829,-0.19601
"839",0.31,0,0.33516,0,-0.33516
"840",0.31,0,0.3193,0,-0.3193
"841",0.31,0,0.34938,0,-0.34938
"842",0.31,0,0.35121,0,-0.35121
"843",0.31,0,0.30577,0,-0.30577
"844",0.31,0,0.21768,0.09236,-0.12532
"845",0.31,0,0.35982,0,-0.35982
"846",0.31,0,0.12582,0.14699,0.02117
"847",0.31,0,0.304,0.00612,-0.29788
"848",0.31,0,0.30894,0,-0.30894
"849",0.31,0,0.23244,0.06331,-0.16912
"850",0.31,0,0.28395,0,-0.28395
"851",0.31,0,0.33354,0,-0.33354
"852",0.31,0,0.21166,0.07606,-0.1356
"853",0.31,0,0.27075,0,-0.27075
"854",0.31,0,0.30088,0,-0.30088
"855",0.31,0,0.30524,0.0032,-0.30205
"856",0.31,0,0.14737,0.10581,-0.04156
"857",0.31,0,0.31001,0,-0.31001
"858",0.31,0,0.23648,0.03255,-0.20393
"859",0.31,0,0.32668,0,-0.32668
"860",0.31,0,0.1537,0.12424,-0.02946
"861",0.31,0,0.28724,0.03444,-0.25279
"862",0.31,0,0.19045,0.06543,-0.12502
"863",0.31,0,0.36096,0,-0.36096
"864",0.31,0,0.30371,0,-0.30371
"865",0.31,0,0.30896,0,-0.30896
"866",0.31,0,0.29563,0,-0.29563
"867",0.31,0,0.29395,0,-0.29395
"868",0.31,0,0.21788,0.07062,-0.14726
"869",0.31,0,0.33361,0,-0.33361
"870",0.31,0,0.2879,0.02151,-0.26639
"871",0.31,0,0.23593,0.07085,-0.16508
"872",0.31,0,0.2994,0,-0.2994
"873",0.31,0,0.06555,0.16804,0.10249
"874",0.31,0,0.31153,0,-0.31153
"875",0.31,0,0.24194,0.04116,-0.20078
"876",0.31,0,0.31588,0,-0.31588
"877",0.31,0,0.20026,0.10751,-0.09275
"878",0.31,0,0.23347,0.07596,-0.15752
"879",0.31,0,0.26208,0.01144,-0.25064
"880",0.31,0,0.30272,0,-0.30272
"881",0.31,0,0.28068,0.03732,-0.24336
"882",0.31,0,0.24892,0.01496,-0.23396
"883",0.31,0,0.30668,0.01578,-0.2909
"884",0.31,0,0.29502,0.00572,-0.2893
"885",0.31,0,0.25392,0.02187,-0.23205
"886",0.31,0,0.32578,0,-0.32578
"887",0.31,0,0.23248,0.09418,-0.1383
"888",0.31,0,0.2868,0,-0.2868
"889",0.31,0,0.18548,0.08353,-0.10196
"890",0.31,0,0.30978,0.00769,-0.30208
"891",0.31,0,0.34903,0,-0.34903
"892",0.31,0,0.27513,0.02115,-0.25398
"893",0.31,0,0.29164,0,-0.29164
"894",0.31,0,0.23755,0.05047,-0.18708
"895",0.31,0,0.29542,0,-0.29542
"896",0.31,0,0.21179,0.03424,-0.17756
"897",0.31,0,0.25041,0.07204,-0.17837
"898",0.31,0,0.34241,0,-0.34241
"899",0.31,0,0.34366,0,-0.34366
"900",0.31,0,0.26128,0.0449,-0.21638
"901",0.31,0,0.26272,0,-0.26272
