%% MetaTwins_Computer_exp_Conf for 'maoming': starting at 31-Dec-2018 16:06:39 (   737425.6714418519).
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  3   9    3   1    6      5      2.498841 1.549426   4.564561 1.355163   6.030569 0.999548   7.030117   8.029649 0.969412   7  
   2  3   9    1   0    3      4      9.495653 2.615600  12.627571 1.244715  13.993603 0.999549  14.993152  15.992701 1.003181   8  
   3  2   9    2   1    7      6     17.492004 1.399392  19.407803 1.010303  20.523947 0.999571  21.523518  22.523073 1.469182   7  
   4  2   9    3   0    5      2     24.488821 1.999146  27.004337 1.360879  28.486998 0.999557  29.486555  30.486071 0.502870   7  
   5  1   9    3   0    5      6     31.502304 1.866373  33.884566 1.771518  35.767026 0.999519  36.766545  37.766102 1.236414   8  
   6  3   9    3   1    5      5     39.498642 1.950403  41.964198 1.135831  43.213618 0.999561  44.213179  45.212715 0.785990   7  
   7  2   9    4   0    7      3     46.512113 1.732427  48.761094 1.302884  50.177106 0.999563  51.176669  52.176203 0.836143   7  
   8  3   9    3   1   -1      5     53.508919 1.932694  55.957805 0.000000  57.956915 0.999545  58.956460  59.956008 1.053147   8  
   9  3   9    3   1    7      5     61.505290 1.616069  63.637649 0.390196  64.137419 0.999540  65.136959  66.136518 0.868985   6  
  10  3   9    3   1    6      6     67.502552 1.832911  69.851498 0.641447  70.601150 0.999553  71.600702  72.600237 1.402546   7  
  11  4   9    4   1    7      6     74.499358 1.116351  76.131952 0.694177  76.931595 0.999536  77.931131  78.930688 1.068909   6  
  12  3   9    3   1    6      6     80.496656 1.249849  82.262505 0.865475  83.245390 0.999544  84.244934  85.244474 0.752391   6  
  13  1   9    3   0    5      6     86.510561 1.766051  88.792848 0.969847  89.875693 0.999572  90.875265  91.874791 1.135998   7  
  14  1   9    2   0   -1      4     93.507373 2.065532  96.089532 0.000000  98.088650 0.999519  99.088169 100.087711 0.919897   8  
  15  4   9    2   0    6      6    101.503726 1.366270 103.386215 0.414202 103.919310 0.999529 104.918839 105.918402 1.085557   6  
  16  1   9    4   0    6      6    107.501007 1.083338 109.100283 0.800696 110.016526 0.999541 111.016067 112.015611 0.985622   6  
  17  3   9    3   1    3      5    113.498261 2.199114 116.213691 0.533671 116.863392 0.999552 117.862944 118.862499 1.135942   7  
  18  2   9    2   1    5      6    120.495093 1.549309 122.560809 0.666106 123.343792 0.999534 124.343326 125.342863 0.652449   6  
  19  2   9    1   0    6      5    126.492342 1.765978 128.774639 0.635610 129.524288 0.999547 130.523836 131.523413 1.469051   7  
  20  1   9    3   0    6      5    133.489151 1.883167 135.888055 1.119711 137.120831 0.999548 138.120379 139.119931 0.869450   7  
]; % This session completes at 31-Dec-2018 16:09:14, 142.001s after session start, 138s on 20 trials, totally 154.797s.

